起始日,出關日,處置類型,代號,名稱,規模,Dn組別,近20日漲幅,大戶(%),買進日,買進時累積(%),最深日,期間最深(%),出關報酬(%),T+1收盤(%),T+2收盤(%),T+3收盤(%),T+4收盤(%),T+5收盤(%),T+6收盤(%),T+7收盤(%),T+8收盤(%),T+9收盤(%),T+10收盤(%),結果,買進日(-5%版),買進時累積(-5%版)(%),出關報酬(-5%版)(%),結果(-5%版),D1累積(%),D2累積(%),D3累積(%),D4累積(%),D5累積(%),D6累積(%),D7累積(%),D8累積(%),D9累積(%),D10累積(%),D1報酬(%),D2報酬(%),D3報酬(%),D4報酬(%),D5報酬(%),D6報酬(%),D7報酬(%),D8報酬(%),D9報酬(%),D10報酬(%),出關後D1(%),出關後D2(%),出關後D3(%),出關後D4(%),出關後D5(%)
2026-06-24,2026-07-01,5分鐘,6693,廣閎科,中,Dn < -5%,59.80,1.02,-,,D4,-6.98,,-7.57,1.59,0.20,10.16,-0.80,-2.79,-5.78,-7.37,-12.95,-13.55,-,D3,-6.55,8.37,✅ +8.37%,6.13,3.17,-6.55,-6.98,-0.85,,,,,,-4.58,-1.84,8.37,8.86,2.13,,,,,,6.47,5.01,15.45,3.97,1.88
2026-06-24,2026-07-08,20分鐘,7610,聯友金屬-創,大,Dn < -5%,93.20,2.70,D3,-16.15,D3,-16.15,18.52,22.72,30.86,19.75,20.00,20.00,28.40,19.01,7.16,-3.46,-9.38,✅ +18.52%,-,,,-,-2.28,-6.83,-16.15,-13.04,-7.66,0.62,3.31,5.59,5.38,-0.62,1.69,6.67,18.52,14.29,7.62,-1.23,-3.81,-5.88,-5.70,0.00,10.42,1.04,1.25,1.25,8.33
2026-06-24,2026-07-01,5分鐘,8096,擎亞,中,Dn -5%~0%,20.88,-5.22,-,,D3,-3.65,,-2.24,-1.92,0.96,7.37,-0.96,8.65,6.73,1.60,0.96,-6.41,-,-,,,-,3.65,3.32,-3.65,-3.65,2.66,,,,,,0.64,0.96,8.28,8.28,1.62,,,,,,-2.55,0.32,6.69,-1.59,7.96
2026-06-24,2026-07-01,5分鐘,8996,高力,大,Dn < -5%,27.75,-2.12,-,,D3,-5.52,,7.24,-2.41,-4.83,-1.72,-7.93,-8.97,-15.17,-14.48,-18.97,-18.28,-,D3,-5.52,18.25,✅ +18.25%,0.00,0.69,-5.52,1.72,6.90,,,,,,11.72,10.96,18.25,9.83,4.52,,,,,,-12.65,-14.81,-12.04,-17.59,-18.52
2026-06-23,2026-07-07,20分鐘,3090,日電貿,大,Dn < -5%,56.05,-1.97,D4,-7.60,D5,-9.39,8.06,-1.29,-2.10,-7.58,-16.77,-25.00,-27.42,-32.58,-37.26,-43.39,-43.39,✅ +8.06%,-,,,-,-9.84,-9.69,-4.32,-7.60,-9.39,-3.87,-5.81,-7.30,-5.07,1.34,10.74,10.56,4.36,8.06,10.20,3.88,6.01,7.72,5.18,-1.47,-9.40,-14.48,-22.99,-30.60,-32.84
2026-06-23,2026-06-30,5分鐘,4551,智伸科,中,Dn -5%~0%,45.34,0.98,D1,8.41,D5,-0.66,-11.02,-8.16,-4.49,-1.63,8.16,15.10,3.67,0.41,-6.33,-12.65,-15.10,❌ -11.02%,-,,,-,8.41,7.96,10.40,-0.44,-0.66,,,,,,-11.02,-10.66,-12.63,-3.11,-2.90,,,,,,7.34,10.55,21.56,29.36,16.51
2026-06-22,2026-07-06,20分鐘,1714,和桐,中,Dn < -5%,107.65,-7.19,D3,-6.39,D4,-9.09,31.23,9.71,-1.05,-6.82,-9.45,-12.60,-10.50,-12.34,-14.96,-19.69,-21.26,✅ +31.23%,-,,,-,-9.83,-12.29,-6.39,-9.09,-8.85,-7.13,-3.44,-5.16,1.72,11.79,36.24,40.06,31.23,35.14,34.77,32.28,27.23,29.53,20.77,9.89,-24.60,-29.00,-31.00,-33.40,-31.80
2026-06-22,2026-07-06,20分鐘,2455,全新,大,Dn < -5%,7.63,-0.19,D4,-6.61,D6,-19.23,-4.12,-13.00,-18.02,-13.77,-14.93,-15.32,-19.05,-18.79,-19.43,-27.41,-28.70,❌ -4.12%,-,,,-,-1.56,-4.33,-4.57,-6.61,-16.35,-19.23,-16.59,-13.82,-16.35,-13.94,-9.04,-6.41,-6.17,-4.12,7.04,10.86,7.35,3.91,7.04,4.05,-14.50,-10.07,-11.28,-11.68,-15.57
2026-06-22,2026-07-06,20分鐘,2478,大毅,中,Dn < -5%,101.72,-5.12,D5,-6.84,D6,-12.39,10.32,-1.38,-11.24,-16.97,-20.18,-25.00,-27.75,-20.64,-27.52,-34.63,-39.91,✅ +10.32%,-,,,-,0.64,-4.49,2.56,3.42,-6.84,-12.39,-3.63,-3.63,-2.56,1.71,2.12,7.61,0.21,-0.62,10.32,17.32,6.65,6.65,5.48,1.05,-19.54,-24.74,-27.65,-32.02,-34.51
2026-06-22,2026-07-06,20分鐘,3532,台勝科,大,Dn < -5%,72.57,-1.00,D3,-6.41,D6,-15.13,24.66,11.23,4.93,12.19,16.03,27.53,39.73,43.29,29.04,16.16,27.67,✅ +24.66%,-,,,-,-2.95,-4.36,-6.41,-4.62,-13.85,-15.13,-6.67,2.56,4.36,12.82,20.21,21.98,24.66,22.31,35.42,37.46,25.00,13.75,11.79,3.41,-15.82,-10.00,-6.92,2.31,12.09
2026-06-22,2026-07-06,20分鐘,6488,環球晶,大,Dn < -5%,58.35,-1.04,D3,-13.06,D6,-17.57,33.68,38.34,24.87,27.46,39.90,53.89,56.99,53.37,41.97,28.50,31.09,✅ +33.68%,-,,,-,0.45,-9.01,-13.06,-6.31,-15.68,-17.57,-9.46,-0.45,8.56,13.06,15.70,27.72,33.68,24.04,37.82,40.98,28.36,16.74,7.05,2.79,-6.59,-4.65,4.65,15.12,17.44
2026-06-18,2026-06-26,5分鐘,2383,台光電,大,Dn ≥ 0%,18.32,0.42,-,,D4,6.92,,-6.16,-2.68,-3.75,-1.16,0.98,8.57,-2.23,-6.79,-5.09,-5.45,-,-,,,-,7.69,12.02,9.62,6.92,8.46,,,,,,0.71,-3.18,-1.05,1.44,0.00,,,,,,-3.37,-4.43,-1.86,0.27,7.80
2026-06-18,2026-06-26,5分鐘,2493,揚博,中,Dn ≥ 0%,93.77,-0.81,-,,D3,6.43,,-0.55,-2.74,6.95,15.90,18.65,14.81,3.47,2.56,-1.28,0.18,-,-,,,-,9.84,7.63,6.43,6.43,15.86,,,,,,1.65,3.73,4.91,4.91,-3.64,,,,,,-4.32,5.22,14.03,16.73,12.95
2026-06-18,2026-07-03,20分鐘,3026,禾伸堂,大,Dn < -5%,127.12,1.78,D3,-9.82,D6,-18.64,7.30,22.28,19.18,7.30,17.95,24.38,12.00,0.87,3.71,-5.20,-14.60,✅ +7.30%,-,,,-,0.67,0.11,-9.82,-11.16,-13.95,-18.64,-14.51,-6.03,0.33,0.33,-3.88,-3.34,7.30,8.92,12.45,18.93,13.19,2.97,-3.56,-3.56,11.07,0.00,9.92,15.92,4.38
2026-06-18,2026-06-26,5分鐘,6613,朋億*,中,Dn ≥ 0%,43.23,-0.29,-,,D4,1.27,,-9.83,-10.88,-4.46,-3.93,-1.70,-5.64,-7.21,-13.89,-17.43,-15.86,-,-,,,-,7.62,10.01,3.81,1.27,2.68,,,,,,-6.16,-8.21,-2.72,-0.28,-1.65,,,,,,-5.03,1.82,2.37,4.75,0.56
2026-06-18,2026-07-03,20分鐘,7828,創新服務,大,Dn < -5%,94.37,1.30,D7,-9.90,D7,-9.90,27.61,17.96,9.12,-1.61,3.22,13.40,5.90,8.58,8.04,15.82,4.29,✅ +27.61%,-,,,-,-3.38,-1.45,8.21,12.32,11.11,0.00,-9.90,-2.66,1.93,12.08,19.00,16.67,6.25,2.37,3.48,14.98,27.61,18.11,12.80,2.59,-14.50,-22.90,-19.12,-11.13,-17.02
2026-06-18,2026-07-03,20分鐘,8027,鈦昇,中,Dn < -5%,2.92,-2.09,D4,-6.28,D7,-20.24,2.38,7.56,3.24,-6.70,-4.97,4.54,4.10,1.30,5.40,3.24,-6.91,✅ +2.38%,-,,,-,-2.43,-0.81,-4.05,-6.28,-5.67,-14.98,-20.24,-12.35,-4.25,-2.63,-1.66,-3.27,0.00,2.38,1.72,12.86,20.30,9.47,0.21,-1.46,0.84,-8.86,-7.17,2.11,1.69
2026-06-18,2026-07-03,20分鐘,8042,金山電,中,Dn < -5%,67.81,-5.91,D3,-9.21,D7,-13.55,9.86,18.59,6.76,-3.66,-8.73,0.28,-9.58,-14.37,-14.65,-19.15,-27.04,✅ +9.86%,-,,,-,-0.26,-2.56,-9.21,-1.79,2.56,-7.67,-13.55,-5.12,3.32,5.63,0.00,2.36,9.86,1.56,-2.74,8.03,15.38,5.12,-3.47,-5.57,-2.82,-12.31,-16.92,-8.72,-17.69
2026-06-17,2026-07-02,20分鐘,3167,大量,大,Dn -5%~0%,2.04,-2.99,-,,D7,-4.37,,-0.87,8.94,12.42,3.60,0.62,-3.73,2.61,8.07,10.81,5.71,-,-,,,-,0.88,2.50,0.63,-2.50,-0.88,-1.88,-4.37,-3.25,5.25,5.25,4.71,3.05,4.97,8.33,6.56,7.64,10.46,9.17,0.36,0.36,3.79,7.10,-1.30,-4.14,-8.28
2026-06-17,2026-07-02,20分鐘,6173,信昌電,中,Dn -5%~0%,78.82,-5.46,-,,D7,-3.83,,4.42,14.73,3.27,-7.04,-10.64,-9.98,-18.99,-21.77,-24.22,-29.46,-,-,,,-,4.70,10.10,6.45,-0.70,6.27,6.79,-3.83,-1.57,8.19,18.99,9.82,4.43,8.02,15.79,8.20,7.67,19.57,16.81,6.28,-3.37,6.21,-4.39,-13.94,-17.27,-16.67
2026-06-17,2026-06-25,5分鐘,6187,萬潤,大,Dn < -5%,2.24,-2.10,-,,D5,-7.02,,-4.33,-6.93,-15.15,-13.59,-7.79,-12.99,-10.82,-10.39,-15.67,-17.32,-,D5,-7.02,-1.89,❌ -1.89%,1.32,8.33,10.53,2.63,-7.02,,,,,,-9.96,-15.79,-17.46,-11.11,-1.89,,,,,,3.37,-5.77,-4.04,2.40,-3.37
2026-06-16,2026-06-24,5分鐘,1714,和桐,中,Dn ≥ 0%,71.28,-8.67,-,,D5,6.89,,6.13,3.06,3.34,5.29,9.47,7.52,15.32,26.74,16.43,5.01,-,-,,,-,7.49,15.27,21.86,9.88,6.89,,,,,,1.39,-5.45,-10.57,-0.82,1.96,,,,,,1.65,1.92,3.85,7.97,6.04
2026-06-16,2026-07-01,20分鐘,8021,尖點,大,Dn ≥ 0%,26.34,-5.27,-,,D8,5.73,,3.31,0.18,2.76,-2.39,-8.29,-4.60,-4.05,-6.45,-10.22,-2.03,-,-,,,-,2.37,7.11,7.31,14.82,12.06,12.65,10.08,5.73,3.16,13.44,14.09,9.04,8.84,1.72,4.23,3.68,6.10,10.47,13.22,2.96,-7.95,-5.58,-10.32,-15.74,-12.35
