event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
6733_2022-12-21,6733,2022-12-21,-7,0.0744920993227991,0.03263825929283781,0.04185384002996129
6733_2022-12-21,6733,2022-12-21,-6,0.0744920993227991,0.028105167724388203,0.046386931598410897
6733_2022-12-21,6733,2022-12-21,-5,0.06997742663656892,0.040797824116047154,0.029179602520521764
6733_2022-12-21,6733,2022-12-21,-4,0.060948081264108334,0.041704442429737254,0.01924363883437108
6733_2022-12-21,6733,2022-12-21,-3,0.04514672686230248,0.024478694469628248,0.02066803239267423
6733_2022-12-21,6733,2022-12-21,-2,0.015801354401805856,0.01858567543064371,-0.002784321028837855
6733_2022-12-21,6733,2022-12-21,-1,0.0,0.0,0.0
6733_2022-12-21,6733,2022-12-21,0,-0.011286681715575675,0.004079782411604782,-0.015366464127180457
6733_2022-12-21,6733,2022-12-21,1,-0.009029345372460473,0.020852221214868516,-0.02988156658732899
6733_2022-12-21,6733,2022-12-21,2,-0.0022573363431149795,0.0036264732547597323,-0.005883809597874712
6733_2022-12-21,6733,2022-12-21,3,0.015801354401805856,0.0072529465095194645,0.008548407892286392
6733_2022-12-21,6733,2022-12-21,4,0.015801354401805856,0.011786038077969074,0.004015316323836782
6733_2022-12-21,6733,2022-12-21,5,-0.004514672686230181,-0.0027198549410697437,-0.0017948177451604375
6733_2022-12-21,6733,2022-12-21,6,-0.004514672686230181,-0.0072529465095194645,0.0027382738232892834
6733_2022-12-21,6733,2022-12-21,7,-0.015801354401805745,-0.0009066183136898776,-0.014894736088115867
6733_2022-12-21,6733,2022-12-21,8,-0.02934537246049651,0.004079782411604782,-0.03342515487210129
6733_2022-12-21,6733,2022-12-21,9,-0.03611738148984189,0.0018132366273799772,-0.03793061811722187
6733_2022-12-21,6733,2022-12-21,10,-0.03611738148984189,0.009066183136899442,-0.045183564626741335
6733_2022-12-21,6733,2022-12-21,11,-0.03611738148984189,0.013599274705349051,-0.049716656195190945
6733_2022-12-21,6733,2022-12-21,12,-0.04514672686230248,0.049864007252946596,-0.09501073411524907
6733_2022-12-21,6733,2022-12-21,13,-0.04514672686230248,0.053943789664551156,-0.09909051652685363
6733_2022-12-21,6733,2022-12-21,14,-0.04514672686230248,0.054850407978241034,-0.09999713484054351
6733_2022-12-21,6733,2022-12-21,15,-0.04966139954853266,0.050317316409791424,-0.09997871595832408
6733_2022-12-21,6733,2022-12-21,16,-0.038374717832956984,0.06255666364460577,-0.10093138147756275
6733_2022-12-21,6733,2022-12-21,17,-0.033860045146726914,0.07071622846781511,-0.10457627361454203
6733_2022-12-21,6733,2022-12-21,18,-0.020316027088036037,0.07071622846781511,-0.09103225555585115
6733_2022-12-21,6733,2022-12-21,19,-0.009029345372460473,0.09428830462375348,-0.10331764999621396
6733_2022-12-21,6733,2022-12-21,20,0.004514672686230403,0.07252946509519487,-0.06801479240896446
6733_2022-12-21,6733,2022-12-21,21,0.009029345372460584,0.07887579329102445,-0.06984644791856387
6733_2022-12-21,6733,2022-12-21,22,0.0338600451467268,0.09700815956482334,-0.06314811441809653
6733_2022-12-21,6733,2022-12-21,23,0.0338600451467268,0.09700815956482334,-0.06314811441809653
6733_2022-12-21,6733,2022-12-21,24,0.038374717832957206,0.08114233907524926,-0.04276762124229205
6733_2022-12-21,6733,2022-12-21,25,0.031602708803611934,0.07887579329102445,-0.04727308448741252
6733_2022-12-21,6733,2022-12-21,26,0.02934537246049662,0.09564823209428819,-0.06630285963379157
6733_2022-12-21,6733,2022-12-21,27,0.06997742663656892,0.09610154125113346,-0.026124114614564542
6733_2022-12-21,6733,2022-12-21,28,0.06772009029345383,0.09700815956482334,-0.02928806927136951
6733_2022-12-21,6733,2022-12-21,29,0.06772009029345383,0.09474161378059831,-0.027021523487144483
6733_2022-12-21,6733,2022-12-21,30,0.06546275395033874,0.10290117860380787,-0.03743842465346914
6733_2022-12-21,6733,2022-12-21,31,0.06320541760722365,0.07751586582048953,-0.01431044821326588
6733_2022-12-21,6733,2022-12-21,32,0.06772009029345383,0.09066183136899375,-0.022941741075539923
6733_2022-12-21,6733,2022-12-21,33,0.06997742663656892,0.07660924750679965,-0.006631820870230731
6733_2022-12-21,6733,2022-12-21,34,0.12641083521444707,0.07887579329102445,0.047535041923422616
6733_2022-12-21,6733,2022-12-21,35,0.11060948081264121,0.07842248413417963,0.03218699667846159
6733_2022-12-21,6733,2022-12-21,36,0.1467268623024831,0.06663644605621033,0.08009041624627278
6733_2022-12-21,6733,2022-12-21,37,0.2595936794582392,0.08250226654578441,0.17709141291245478
6733_2022-12-21,6733,2022-12-21,38,0.2618510158013545,0.0770625566636447,0.1847884591377098
6733_2022-12-21,6733,2022-12-21,39,0.2302483069977428,0.08204895738893914,0.14819934960880365
6733_2022-12-21,6733,2022-12-21,40,0.1805869074492099,0.08114233907524926,0.09944456837396065
6733_2022-12-21,6733,2022-12-21,41,0.1512415349887133,0.08204895738893914,0.06919257759977415
6733_2022-12-21,6733,2022-12-21,42,0.1534988713318286,0.0924750679963735,0.061023803335455096
6733_2022-12-21,6733,2022-12-21,43,0.182844243792325,0.09972801450589297,0.08311622928643203
6733_2022-12-21,6733,2022-12-21,44,0.17155756207674955,0.09066183136899375,0.0808957307077558
6733_2022-12-21,6733,2022-12-21,45,0.19187358916478559,0.08975521305530387,0.10211837610948171
6733_2022-12-21,6733,2022-12-21,46,0.1805869074492099,0.07252946509519487,0.10805744235401504
