anchor,year,horizon,n,mean_ret,win_rate
公告日,2011,5,66,-0.03652260177446003,0.19696969696969696
公告日,2011,60,66,-0.15060759142387087,0.15151515151515152
公告日,2011,6,66,-0.04323641456936706,0.18181818181818182
公告日,2011,7,66,-0.05126908279424787,0.19696969696969696
公告日,2011,8,66,-0.05323267490802113,0.18181818181818182
公告日,2011,9,66,-0.05496806266613212,0.25757575757575757
公告日,2011,-10,66,0.006604729216811333,0.5
公告日,2011,-1,66,0.0,0.0
公告日,2011,-20,66,0.021074186263388948,0.5303030303030303
公告日,2011,-2,66,-0.003558785268636807,0.42424242424242425
公告日,2011,-3,66,0.002490133037882773,0.4696969696969697
公告日,2011,-4,66,0.003837938384787505,0.5
公告日,2011,-5,66,0.005065509745855576,0.5606060606060606
公告日,2011,-6,66,-0.001483312756007559,0.48484848484848486
公告日,2011,-7,66,0.0009738004963043556,0.5303030303030303
公告日,2011,-8,66,-0.0005722789455413676,0.4696969696969697
公告日,2011,-9,66,0.006685590294820189,0.5
公告日,2012,0,56,0.0017672571206572621,0.375
公告日,2012,10,56,-0.027260355693175236,0.32142857142857145
公告日,2012,1,56,-0.0013177574448505341,0.4107142857142857
公告日,2012,20,56,-0.043537617240250175,0.23214285714285715
公告日,2012,2,56,-0.007438471776369142,0.44642857142857145
公告日,2012,30,56,-0.0733144364935987,0.23214285714285715
公告日,2012,3,56,-0.002394882459236753,0.4642857142857143
公告日,2012,4,56,-0.0075707062004875215,0.4107142857142857
公告日,2012,5,56,-0.017786693211148376,0.25
公告日,2012,60,56,-0.04234709602458976,0.35714285714285715
公告日,2012,6,56,-0.01678613941317987,0.32142857142857145
公告日,2012,7,56,-0.02149366698726557,0.2857142857142857
公告日,2012,8,56,-0.023973677158349915,0.25
公告日,2012,9,56,-0.02665024218332169,0.30357142857142855
公告日,2012,-10,56,-0.018295495514711796,0.375
公告日,2012,-1,56,0.0,0.0
公告日,2012,-20,56,-0.023520782286945763,0.3392857142857143
公告日,2012,-2,56,-0.0032918556482223293,0.44642857142857145
公告日,2012,-3,56,-0.002429673640876296,0.48214285714285715
公告日,2012,-4,56,-0.004750491470440287,0.4642857142857143
公告日,2012,-5,56,-0.005908191328570539,0.4642857142857143
公告日,2012,-6,56,-0.010356388249775444,0.375
公告日,2012,-7,56,-0.014435283793062071,0.35714285714285715
公告日,2012,-8,56,-0.01955486592935093,0.35714285714285715
公告日,2012,-9,56,-0.0188070666620379,0.35714285714285715
公告日,2013,0,63,0.005049284314727335,0.5238095238095238
公告日,2013,10,63,-0.012206805277949196,0.3492063492063492
公告日,2013,1,63,0.001529449969616191,0.47619047619047616
公告日,2013,20,63,-0.013916337001629312,0.3492063492063492
公告日,2013,2,63,-0.006145264122120329,0.4603174603174603
公告日,2013,30,63,-0.017653331945059268,0.3968253968253968
公告日,2013,3,63,-0.004902319741376276,0.49206349206349204
公告日,2013,4,63,-0.0048664939549412775,0.47619047619047616
公告日,2013,5,63,-0.016752164125244644,0.38095238095238093
公告日,2013,60,63,0.025620606808458703,0.49206349206349204
公告日,2013,6,63,-0.017302593362286758,0.36507936507936506
公告日,2013,7,63,-0.01756896718465587,0.25396825396825395
公告日,2013,8,63,-0.01745639745125622,0.2857142857142857
公告日,2013,9,63,-0.017827375902310153,0.36507936507936506
公告日,2013,-10,63,-0.007217653369249208,0.49206349206349204
公告日,2013,-1,63,0.0,0.0
公告日,2013,-20,63,-0.012095773437538112,0.4444444444444444
公告日,2013,-2,63,-4.880262664645641e-06,0.5238095238095238
公告日,2013,-3,63,-0.0004952122246821069,0.49206349206349204
公告日,2013,-4,63,-0.0041148719165379,0.3968253968253968
公告日,2013,-5,63,-0.006415169780148147,0.4603174603174603
公告日,2013,-6,63,-0.008335330618144126,0.47619047619047616
公告日,2013,-7,63,-0.005953238985097389,0.5079365079365079
公告日,2013,-8,63,-0.00893897521165658,0.47619047619047616
公告日,2013,-9,63,-0.008713029369098303,0.4126984126984127
公告日,2014,0,75,-0.002535592061605086,0.38666666666666666
公告日,2014,10,75,-0.04384564542225422,0.17333333333333334
公告日,2014,1,75,-0.006476774055167256,0.32
公告日,2014,20,75,-0.0591394702729579,0.21333333333333335
公告日,2014,2,75,-0.008042849633437129,0.3466666666666667
公告日,2014,30,75,-0.05643327806732875,0.25333333333333335
公告日,2014,3,75,-0.007682528318109594,0.36
公告日,2014,4,75,-0.018786596932016397,0.28
公告日,2014,5,75,-0.031429719382764065,0.24
