代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
6116,彩晶,大,2026,2026-06-01,2026-06-15,10日6次,9.97,6.73,,,9.94,32.75,7.89,-15.79,-12.59
6291,沛亨,中,2026,2026-06-01,2026-06-15,連續3日,3.82,-2.50,✅,⭐,-4.57,-9.43,-10.75,-25.92,-14.55
7828,創新服務,大,2026,2026-06-01,2026-06-15,連續3日,0.71,1.06,,,2.84,15.25,10.99,15.60,43.09
3191,雲嘉南,小,2026,2026-05-29,2026-06-12,連續3日,9.82,9.98,,,9.98,-6.65,-10.81,-12.89,-26.63
6239,力成,大,2026,2026-05-29,2026-06-12,10日6次,4.99,5.45,✅,,6.01,-2.94,-0.98,-10.21,-8.67
6821,聯寶,小,2026,2026-05-29,2026-06-12,連續3日,0.14,0.83,,,-2.64,-2.92,-6.25,-7.36,-4.07
2061,風青,小,2026,2026-05-28,2026-06-11,連續3日,4.35,-2.08,✅,⭐,-1.79,18.75,23.66,6.70,-0.51
3189,景碩,大,2026,2026-05-28,2026-06-11,10日6次,0.86,0.00,,,-2.99,10.26,5.27,-0.57,-9.46
3236,千如,小,2026,2026-05-28,2026-06-11,連續3日,-2.23,-3.34,,,-5.98,0.70,-5.10,-6.85,7.12
4958,臻鼎-KY,大,2026,2026-05-28,2026-06-11,10日6次,-1.48,-2.07,,,-8.65,3.01,-4.14,-3.76,8.49
6271,同欣電,大,2026,2026-05-28,2026-06-11,10日6次,-2.30,-0.79,,,-3.93,-2.75,-1.77,-14.15,-11.60
6570,維田,小,2026,2026-05-28,2026-06-11,連續3日,-9.62,-2.03,,,0.17,2.20,0.00,-4.39,-4.74
6906,現觀科,小,2026,2026-05-28,2026-06-11,10日6次,1.48,2.91,,,5.34,1.94,0.49,-8.83,-17.41
4127,天良,小,2026,2026-05-27,2026-06-10,連續3日,-1.45,3.52,,,-2.06,1.32,0.59,1.17,0.09
2327,國巨*,大,2026,2026-05-26,2026-06-09,10日6次,9.86,-2.46,,,-4.34,7.38,14.33,7.53,24.61
2478,大毅,中,2026,2026-05-26,2026-06-09,10日6次,-5.88,0.00,,,-0.83,5.83,20.00,14.58,39.98
3491,昇達科,大,2026,2026-05-26,2026-06-09,其他,8.29,-1.44,✅,⭐,-0.72,-4.31,3.59,-6.70,-13.13
4722,國精化,中,2026,2026-05-26,2026-06-09,10日6次,-0.87,0.18,,,-2.99,-4.23,0.70,-2.11,-11.43
4916,事欣科,中,2026,2026-05-26,2026-06-09,10日6次,3.26,-1.48,✅,⭐,-0.99,0.99,17.24,20.69,18.55
2911,麗嬰房,小,2026,2026-05-25,2026-06-08,10日6次,10.00,9.90,,,9.90,6.44,-4.14,-1.50,-11.25
3675,德微,中,2026,2026-05-25,2026-06-08,連續3日,0.95,-0.94,,,4.54,14.24,29.26,16.12,3.24
5321,美而快,小,2026,2026-05-25,2026-06-08,連續3日,9.89,0.00,,,9.90,32.90,34.19,44.22,-4.45
6538,倉和,小,2026,2026-05-25,2026-06-08,連續3日,8.97,1.18,✅,,3.14,-3.53,-3.14,1.18,-15.95
6742,澤米,小,2026,2026-05-25,2026-06-08,10日6次,-0.32,-1.63,,,-3.25,-6.83,-5.85,-0.16,-8.76
6834,天二科技,小,2026,2026-05-25,2026-06-08,10日6次,5.86,-2.41,✅,🔒漲停買不到,9.93,10.21,6.67,9.93,-12.36
3090,日電貿,大,2026,2026-05-22,2026-06-05,10日6次,9.80,0.00,,,9.69,18.37,6.38,12.24,2.43
