pair,branch_i,branch_j,d0,code,d1,period,i_net_amt_wan,i_influence_pct,j_net_amt_wan,j_influence_pct,d1_open,d1_high,d1_close,stop_price,stopped,frozen,short_ret_pct,abs20_excluded,success
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-03,6140,2024-01-04,in_sample,1116.9,1.9966,1494.675,2.6719,33.15,34.7,29.6,35.378,False,False,10.7089,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-03,9919,2024-01-04,in_sample,1592.25,3.2577,1875.96,3.8381,30.0,31.5,29.6,31.164,True,False,-3.88,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-05,5225,2024-01-08,in_sample,2333.55,5.3088,2573.25,5.8541,73.5,74.5,71.1,75.95,False,False,3.2653,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-08,4956,2024-01-09,in_sample,661.65,3.9277,779.945,4.6299,21.3,22.05,22.05,21.609,True,False,-1.4507,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-10,6140,2024-01-11,in_sample,557.72,0.4727,2425.7,2.0557,42.0,42.0,42.0,41.16,True,False,2.0,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-10,8096,2024-01-11,in_sample,1003.59,0.9714,1967.945,1.9048,21.35,22.7,22.7,22.246,True,False,-4.1967,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-11,4909,2024-01-12,in_sample,1143.0,1.3987,2446.02,2.9932,39.5,40.75,38.35,41.062,False,False,2.9114,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-15,4909,2024-01-16,in_sample,1357.23,1.3326,619.605,0.6084,42.15,42.9,42.7,45.423,False,False,-1.3049,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-16,1528,2024-01-17,in_sample,440.8,0.9336,749.36,1.5872,15.7,15.8,14.35,16.366,False,False,8.5987,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-16,6243,2024-01-17,in_sample,7316.08,1.8033,3418.24,0.8425,88.5,90.4,83.2,93.982,False,False,5.9887,False,True
