event_id,ticker,ex_date,shares,sub_price,ref_price,price_30d_pre,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-5d,abn_-5d,ret_-1d,abn_-1d,ret_+1d,abn_+1d,ret_+5d,abn_+5d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d,discount_pct
8083_2013-03-28,8083,2013-03-28,5000000.0,52.0,60.2,61.5,0.004983388704318914,-0.004157379120178328,0.018272425249169277,0.0018190431650741967,0.021594684385382035,0.028907298644979984,0.0,0.0,-0.0033222591362126463,-0.010634873395810485,-0.019933554817275767,-0.0043942495156303885,-0.019933554817275767,-0.0053083262980800905,-0.03488372093023262,-0.05499341014412651,0.07308970099667755,0.014588786919895291,0.14617940199335533,0.1644609376423498,-0.1362126245847176
6287_2013-04-10,6287,2013-04-10,25000000.0,3.2,3.3,4.29,0.28787878787878785,0.2469104452344677,0.14242424242424256,0.1265955645843917,0.16969696969696968,0.1454884035889623,0.0,0.0,-0.13636363636363624,-0.14846791941763993,-0.030303030303030165,-0.03402742508887735,-0.07878787878787874,-0.1132385305569662,-0.12121212121212122,-0.20501100389368554,-0.06666666666666654,-0.12811918063314687,-0.10606060606060597,-0.1498222447943116,-0.030303030303030165
8071_2013-04-22,8071,2013-04-22,7000000.0,22.0,22.8,20.9,-0.0921052631578948,-0.07136585828864317,-0.01535087719298256,0.013503946972932668,-0.04385964912280704,-0.01590653821207655,0.0,0.0,-0.00877192982456132,-0.0024599370382673014,0.004385964912280604,-0.001926027874013192,0.028508771929824483,-0.0012477654912754765,-0.028508771929824706,-0.07990642747536114,-0.061403508771929904,-0.08214291364118143,-0.03508771929824561,-0.07386138927119423,-0.03508771929824561
4128_2013-06-20,4128,2013-06-20,80000000.0,30.0,36.25,34.05,0.04275862068965508,-0.010586768098771682,-0.02896551724137919,-0.05247365467356735,-0.01379310344827589,-0.008368148656232588,0.0,0.0,-0.04137931034482756,-0.0106378998565817,-0.08551724137931038,-0.068338217871173,-0.10758620689655174,-0.10125709297250118,-0.09517241379310348,-0.12953046080937847,-0.11172413793103442,-0.12799900230716477,-0.09793103448275853,-0.130480763235019,-0.1724137931034483
8925_2013-07-15,8925,2013-07-15,80000000.0,9.5,9.79,10.4,0.07252298263534218,0.11088392422209026,0.006128702757916216,0.036643088111011246,0.021450459652706977,0.06242691998400607,0.0,0.0,-0.002042900919305368,-0.0046584196638562725,-0.011235955056179692,0.00968819490022843,-0.033707865168539186,-0.018886592282750136,-0.04392236976506636,-0.0029459094337672687,-0.033707865168539186,0.01424331181489591,-0.016343207354443168,-0.031164480240232217,-0.02962206332992845
3310_2013-07-19,3310,2013-07-19,35000000.0,17.6,28.1,21.75,-0.001779359430605032,0.06115770350645788,-0.10320284697508908,-0.08309795187019386,-0.02313167259786486,-0.025754050220242353,0.0,0.0,-0.15658362989323849,-0.13822698653659504,-0.11387900355871894,-0.10863424831396362,-0.19217081850533813,-0.18080718214170166,-0.25978647686832745,-0.22569556777741828,-0.3736654804270463,-0.35793121469278044,-0.3220640569395018,-0.34042070029614513,-0.3736654804270463
4152_2013-07-23,4152,2013-07-23,10000000.0,298.0,352.5,306.0,-0.12907801418439713,-0.07297828132598216,-0.03546099290780147,-0.026556273406465714,0.018439716312056653,-0.005603026341549855,0.0,0.0,-0.041134751773049594,-0.05449183102505306,-0.06382978723404253,-0.0780773384361797,-0.04680851063829783,-0.042356150887630006,-0.126241134751773,-0.09863650429763238,-0.017021276595744705,-0.024145052196813177,0.16595744680851054,0.1143100737007634,-0.15460992907801419
6123_2013-07-23,6123,2013-07-23,6000000.0,32.0,39.8,28.9,0.04020100502512558,0.09630073788354054,-0.03391959798994959,-0.025014878488613834,-0.05276381909547723,-0.07680656174908373,0.0,0.0,-0.0992462311557788,-0.11260331040778226,-0.08040201005025116,-0.09464956125238833,-0.14321608040200995,-0.13876372065134213,-0.15954773869346717,-0.13194310823932653,-0.19095477386934656,-0.19807854947041503,-0.01633165829145722,-0.06797903139920436,-0.1959798994974874
6186_2013-07-25,6186,2013-07-25,8000000.0,27.0,35.3,34.1,-0.005665722379603277,0.03914974334974641,-0.016997167138810054,-0.022269574871674802,0.022662889518413776,0.017390481785549028,0.0,0.0,-0.008498583569405027,-0.008498583569405027,-0.03116147308781858,-0.018859188377801095,-0.004249291784702458,0.03090009310106201,-0.014164305949008527,0.02186381355889999,0.1331444759206799,0.13138700667639158,0.062322946175637384,0.025416092045584593,-0.235127478753541
8996_2013-07-26,8996,2013-07-26,4000000.0,48.0,72.2,55.6,-0.19390581717451527,-0.16057248384118195,-0.1412742382271468,-0.1474145891043399,-0.08033240997229918,-0.061911357340720286,0.0,0.0,-0.07479224376731308,-0.06602031394275165,0.1149584487534625,0.1228531855955678,0.05263157894736836,0.0903508771929824,0.006925207756232732,0.04025854108956606,0.030470914127423754,0.02696214219759918,-0.18144044321329644,-0.2112650046168053,-0.33518005540166207
4168_2013-08-05,4168,2013-08-05,11250000.0,80.0,111.0,88.0,-0.18828828828828836,-0.16087891605132998,-0.08108108108108103,-0.0740076946973498,-0.10720720720720722,-0.10632303390924092,0.0,0.0,-0.10450450450450444,-0.09301025163094123,-0.04054054054054057,-0.013131168303582186,-0.04504504504504503,-0.01940401940401948,0.11711711711711703,0.1153487705211842,0.25225225225225234,0.23014791980309224,0.31081081081081074,0.2869381317657178,-0.2792792792792793
5251_2013-08-20,5251,2013-08-20,3000000.0,57.0,81.8,72.3,-0.06112469437652812,-0.09651489401355173,0.05134474327628369,0.03682568701494082,0.011002444987775029,0.002835475840769597,0.0,0.0,-0.059902200488997415,-0.04266082117865255,-0.05867970660146693,-0.052327619487129384,-0.030562347188264005,-0.056878136661948075,-0.0647921760391198,-0.1128865499048185,-0.07334963325183375,-0.13596306337887532,-0.017114914425427785,-0.03617117576844053,-0.3031784841075794
5206_2013-08-27,5206,2013-08-27,30000000.0,16.0,17.6,17.95,0.03977272727272729,0.01436437881537711,0.022727272727272707,0.024542154759940593,0.011363636363636243,0.011363636363636243,0.0,0.0,-0.014204545454545414,-0.007852458340207868,-0.019886363636363757,-0.048017035142715825,-0.045454545454545525,-0.08628939118957268,-0.08806818181818188,-0.13706999670021447,-0.09375000000000011,-0.15001134301270425,-0.09375000000000011,-0.10010208711433777,-0.09090909090909094
4162_2013-08-28,4162,2013-08-28,8000000.0,142.0,207.5,194.0,-0.14457831325301207,-0.18761860629330518,-0.17349397590361448,-0.19089324330288182,-0.11807228915662649,-0.11807228915662649,0.0,0.0,0.14457831325301207,0.12809479676949564,0.17349397590361448,0.1377796901893289,0.19036144578313263,0.13724789266957949,0.1879518072289157,0.1394170086941171,0.3012048192771084,0.23069199876428792,0.13734939759036147,0.12086588110684504,-0.3156626506024096
4946_2013-08-28,4946,2013-08-28,4000000.0,39.0,50.8,53.1,0.03740157480314976,-0.0056387182371433475,0.03740157480314976,0.020002307403882424,0.003937007874015741,0.003937007874015741,0.0,0.0,-0.05905511811023623,-0.07553863459375265,-0.07480314960629919,-0.11051743532058478,0.013779527559055094,-0.03933402555449805,-0.030511811023621993,-0.07904660955842058,-0.015748031496062964,-0.08626085200888345,-0.17027559055118113,-0.18675910703469756,-0.23228346456692905
4432_2013-09-05,4432,2013-09-05,5000000.0,60.0,81.0,81.8,-0.006172839506172867,0.019468186134852683,-0.09876543209876543,-0.05632511379637817,-0.09135802469135812,-0.07279038543406369,0.0,0.0,-0.024691358024691357,-0.032648917706389,-0.07283950617283963,-0.09052297213216776,-0.06666666666666676,-0.08435013262599489,-0.016049382716049387,-0.049647968038772805,0.011111111111111072,-0.032213380489242605,0.032098765432098775,0.016183646068703483,-0.2592592592592593
3324_2013-09-10,3324,2013-09-10,7000000.0,13.1,18.55,21.3,0.061994609164420345,0.10045614762595889,-0.021563342318059453,0.023891203136486072,0.029649595687331498,0.03926498030271619,0.0,0.0,-0.05660377358490565,-0.061848528829660854,-0.03504043126684653,-0.04552994175635694,-0.03504043126684653,-0.04552994175635694,-0.02425876010781669,-0.04174127759033419,-0.03234501347708907,-0.038463894595970105,0.15094339622641506,0.15269164797466683,-0.29380053908355797
3563_2013-09-25,3563,2013-09-25,5500000.0,56.0,75.8,72.7,0.013192612137203241,0.07262413668500678,-0.01978891820580475,-0.007730348007699783,0.0158311345646438,0.02013776677825274,0.0,0.0,-0.05013192612137196,-0.036350703037823395,-0.08311345646437995,-0.07105488626627499,-0.1029023746701847,-0.10548635399835016,-0.09366754617414241,-0.08505428174692453,-0.15699208443271762,-0.13287494403650746,-0.18601583113456455,-0.17395726093645958,-0.2612137203166227
4107_2013-09-25,4107,2013-09-25,5500000.0,42.0,56.9,46.65,-0.12653778558875217,-0.06710626104094863,-0.06854130052724072,-0.056482730329135755,0.0017574692442883233,0.006064101457897264,0.0,0.0,-0.024604569420035083,-0.010823346336486517,-0.04745166959578195,-0.035393099397676986,-0.005272407732864637,-0.00785638706103009,-0.005272407732864637,0.0033408566943532447,0.007029876977152849,0.031147017373363006,0.005272407732864748,0.017330977930969715,-0.2618629173989455
3630_2013-10-08,3630,2013-10-08,15000000.0,90.0,105.5,103.5,-0.004739336492891044,0.007350473524380008,-0.05213270142180093,-0.054723374996930474,0.05213270142180093,0.06508606929744865,0.0,0.0,-0.023696682464455,-0.028878029614714085,-0.009478672985781977,-0.015523577994417503,0.03791469194312791,0.024097766209103755,-0.19715639810426533,-0.1781581252199821,-0.40379146919431286,-0.3787482913013941,-0.376303317535545,-0.38752956969443964,-0.14691943127962082
3615_2013-10-09,3615,2013-10-09,10000000.0,41.0,48.5,46.05,-0.03608247422680411,-0.018944513644113425,0.07628865979381438,0.0857145381142943,0.04948453608247427,0.06662249666516495,0.0,0.0,-0.05154639175257736,-0.053260187810846515,-0.06391752577319587,-0.06734511788973396,-0.07216494845360821,-0.058454579987455624,-0.20618556701030932,-0.1770510340197351,-0.3154639175257732,-0.2657638318359703,-0.21649484536082475,-0.2079258650694794,-0.15463917525773196
1795_2013-10-17,1795,2013-10-17,15000000.0,45.0,67.0,53.6,-0.20895522388059706,-0.20122990199218505,-0.07462686567164178,-0.05917622189481775,-0.052238805970149294,-0.051380436871436896,0.0,0.0,0.014925373134328401,0.0011914675549293818,0.08507462686567169,0.09709179424764602,0.017910447761193993,0.023919031452181105,-0.05970149253731338,-0.01935814489782839,0.03731343283582089,0.05276407661264493,0.31791044776119404,0.3299276151431684,-0.32835820895522383
3290_2013-11-15,3290,2013-11-15,10000000.0,26.0,31.3,29.5,0.060702875399361034,0.004352249281293075,0.03833865814696491,0.007927209130864643,0.057507987220447365,0.04766898900935601,0.0,0.0,-0.06549520766773165,-0.075334205878823,-0.11980830670926512,-0.11265267164665338,-0.04952076677316297,-0.07903776140643659,0.025559105431310014,-0.00038007167065789993,0.060702875399361034,0.017769065023690134,-0.030351437699680517,-0.07060188492687192,-0.1693290734824281
8349_2013-12-04,8349,2013-12-04,10000000.0,40.0,48.6,43.1,-0.06172839506172845,-0.04955448201825019,0.008230452674897082,0.026491322240114412,0.01337448559670773,0.022070137770620724,0.0,0.0,-0.012345679012345734,-0.005389157273215317,-0.039094650205761305,-0.04518160672750049,-0.0380658436213992,-0.029370191447486205,0.23045267489711918,0.21219180533190185,0.26543209876543217,0.24717122920021484,0.4814814814814814,0.4545249597423511,-0.17695473251028804
6279_2013-12-05,6279,2013-12-05,8500000.0,82.0,95.4,97.9,-0.012578616352201255,0.0013465359541521282,-0.04612159329140464,-0.011308712525521236,-0.02515723270440262,-0.023416588666108407,0.0,0.0,-0.02096436058700213,-0.015742428472119596,-0.03459119496855356,-0.0337208729494064,-0.05660377358490576,-0.054863129546611544,-0.08176100628930827,-0.0887235824424849,-0.12683438155136273,-0.14772211001089264,-0.016771488469601747,-0.049843725197190825,-0.14046121593291405
6134_2013-12-09,6134,2013-12-09,7120000.0,7.5,8.74,9.05,-0.0011441647597253413,0.013728976097667545,0.03775743707093815,0.05350546856700111,0.010297482837528626,0.00504813900550749,0.0,0.0,-0.013729977116704872,-0.025103555419417112,-0.011441647597253968,-0.007067194403903132,-0.01830663615560646,-0.030555105096988888,0.06750572082379858,0.057881923798426715,0.059496567505720854,0.03499962962295622,0.2986270022883295,0.25313268907748077,-0.14187643020594964
3266_2013-12-10,3266,2013-12-10,50000000.0,25.0,26.35,25.25,-0.011385199240986799,0.00856276259769484,0.04554079696394675,0.06201954804807508,0.017077798861480087,0.01967970692739507,0.0,0.0,0.0,-0.003469210754553309,-0.009487666034155628,-0.001681941836410683,-0.024667931688804656,-0.027269839754719638,-0.06072106261859589,-0.06332297068451087,-0.04743833017077803,-0.0647843839435448,0.015180265654648917,-0.010838815004501123,-0.05123339658444026
