code,name,lock_start,lock_end,lock_days,d1,entry_day,entry_open,entry_o,entry_h,entry_l,entry_c,base_ret,tp2_ret,tp2_hit,censored,entry_is_ceiling,citycenter_overlap,cum_net_buy_ntd,flip_ratio,year
8150,南茂,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,76.6,76.6,80.7,75.0,79.8,-4.177545691906009,1.9999999999999956,True,False,False,True,415923300.0,1.0961093066918828,2026
1711,永光,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,63.7,63.7,64.3,54.3,56.5,11.302982731554165,2.0000000000000013,True,False,False,True,371427200.0,0.9644150993788284,2026
1727,中華化,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,68.9,68.9,70.3,59.3,64.3,6.676342525399141,2.0,True,False,False,False,131033100.0,1.0123464987091049,2026
2312,金寶,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,31.4,31.4,31.9,26.9,27.0,14.012738853503182,2.0000000000000004,True,False,False,False,344051100.00000006,0.8624590940124881,2026
2351,順德,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,169.0,169.0,172.5,149.5,151.0,10.650887573964498,1.9999999999999973,True,False,False,False,253648000.0,0.548283447927837,2026
2454,聯發科,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,2325.0,2325.0,2335.0,2170.0,2215.0,4.731182795698925,2.0,True,False,False,False,3573315000.0,0.0,2026
3227,原相,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,236.0,236.0,236.5,210.0,215.0,8.898305084745763,1.9999999999999993,True,False,False,True,85580000.0,-0.0,2026
3324,雙鴻,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,1185.0,1185.0,1210.0,1070.0,1105.0,6.751054852320674,2.000000000000004,True,False,False,False,516285000.0,0.7319794299660072,2026
3583,辛耘,2026-04-22,2026-04-22,1,2026-04-23,2026-04-24,931.0,869.0,869.0,805.0,815.0,6.214039125431531,1.9999999999999993,True,False,True,False,84700000.0,0.0,2026
3701,大眾控,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,78.7,78.7,79.8,70.8,70.9,9.911054637865307,1.9999999999999976,True,False,False,True,133384200.0,0.8999094345507191,2026
4931,新盛力,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,165.0,165.0,174.5,152.5,165.5,-0.303030303030303,2.000000000000007,True,False,False,False,158064500.0,1.212473389027897,2026
4961,天鈺,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,175.0,175.0,178.0,155.5,162.0,7.428571428571429,2.0,True,False,False,False,101231000.0,0.9601801819600716,2026
4967,十銓,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,270.0,270.0,275.5,237.5,250.0,7.4074074074074066,1.9999999999999918,True,False,False,False,256113500.0,0.5554178128056506,2026
5269,祥碩,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,1440.0,1440.0,1445.0,1245.0,1275.0,11.458333333333332,1.999999999999997,True,False,False,False,276000000.0,0.7391304347826086,2026
6231,系微,2026-04-20,2026-04-22,3,2026-04-23,2026-04-23,373.0,373.0,373.0,314.0,316.0,15.281501340482572,1.9999999999999944,True,False,False,False,124502500.0,0.987321539728118,2026
6462,神盾,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,144.0,144.0,144.5,129.5,129.5,10.069444444444445,1.999999999999997,True,False,False,False,208936000.0,0.8962409541677835,2026
6526,達發,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,618.0,618.0,621.0,549.0,556.0,10.032362459546926,2.000000000000002,True,False,False,False,168760000.0,0.698459350557004,2026
6672,騰輝電子-KY,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,226.0,226.0,226.0,185.5,191.5,15.265486725663717,2.0000000000000044,True,False,False,False,96202000.0,0.911696222531756,2026
8016,矽創,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,247.0,247.0,248.5,216.5,224.5,9.109311740890687,1.9999999999999991,True,False,False,False,157527500.0,0.9135198616114648,2026
8028,昇陽半導體,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,233.0,233.0,233.5,207.5,220.0,5.579399141630901,1.9999999999999987,True,False,False,False,219284000.0,1.2510716696156583,2026
8039,台虹,2026-04-22,2026-04-22,1,2026-04-23,2026-04-23,170.5,170.5,170.5,145.0,145.0,14.95601173020528,1.999999999999998,True,False,False,False,322161000.0,1.043748312179314,2026
8054,安國,2026-04-21,2026-04-22,2,2026-04-23,2026-04-23,130.0,130.0,130.0,112.5,112.5,13.461538461538462,2.0000000000000067,True,False,False,False,96843000.0,-0.0,2026
8271,宇瞻,2026-04-17,2026-04-22,4,2026-04-23,2026-04-23,254.5,254.5,256.0,214.5,222.0,12.770137524557956,2.0000000000000013,True,False,False,False,249830000.0,0.9250370251771204,2026
2474,可成,2026-04-23,2026-04-23,1,2026-04-24,2026-04-24,234.0,234.0,243.0,222.0,223.5,4.487179487179487,2.0000000000000027,True,False,False,False,204183000.0,1.8958581272681856,2026
3162,精確,2026-04-22,2026-04-23,2,2026-04-24,2026-04-24,82.7,82.7,84.1,77.1,81.8,1.088270858524795,1.9999999999999956,True,False,False,False,96904500.0,1.034903435856952,2026
