急拉幅度,進場回落,停損距離,量能倍率,信號窗口,樣本數,勝率,均報酬,PF,停損率
>=7%,2.0%,1.0%,1.5,90,11930,0.6137468566638726,0.012300942172424185,2.8264695248824174,0.04509639564124057
>=7%,2.0%,1.0%,1.5,120,13382,0.595650874308773,0.010850916049940464,2.576147697159841,0.05014198176655209
>=7%,2.0%,1.0%,2.0,15,4726,0.6565806178586543,0.018676559201553537,3.8051453261897614,0.028565382987727466
>=7%,2.0%,1.0%,2.0,20,5528,0.6543053545586107,0.017844921626222754,3.709206400307402,0.03093342981186686
>=7%,2.0%,1.0%,2.0,30,6693,0.6475422082773047,0.016538332104691186,3.49932896187654,0.03496190049305244
>=7%,2.0%,1.0%,2.0,45,7985,0.6405760801502818,0.015224513007975247,3.3010437396887866,0.03807138384470883
>=7%,2.0%,1.0%,2.0,60,8919,0.6337033299697276,0.014154289856167663,3.130743437265338,0.03901782711066263
>=7%,2.0%,1.0%,2.0,90,10335,0.6114175133043057,0.012303015715587722,2.807919328621959,0.04354136429608128
>=7%,2.0%,1.0%,2.0,120,11490,0.5945169712793734,0.01095767291181798,2.578550585981004,0.048302872062663184
>=7%,2.5%,0.3%,1.0,15,5248,0.655297256097561,0.016678916580235497,3.2937650930071483,0.0546875
>=7%,2.5%,0.3%,1.0,20,6161,0.6492452523940919,0.015633151898672367,3.14128187229198,0.06119136503814316
>=7%,2.5%,0.3%,1.0,30,7603,0.6406681573063264,0.01436778732157634,2.9637514043330233,0.06826252794949363
>=7%,2.5%,0.3%,1.0,45,9217,0.6286210263643268,0.012868327377986905,2.7648761957958277,0.0716068134967994
>=7%,2.5%,0.3%,1.0,60,10446,0.6191843767949454,0.01171173469199746,2.5977662299464708,0.07533984300210607
>=7%,2.5%,0.3%,1.0,90,12279,0.5972799087873605,0.0100216641048661,2.3379023973975745,0.08249857480250834
>=7%,2.5%,0.3%,1.0,120,13689,0.5781284242822704,0.008775097541527834,2.154253670479365,0.0878807801884725
>=7%,2.5%,0.3%,1.5,15,4860,0.6516460905349795,0.016409503738502453,3.2172642485204666,0.05596707818930041
>=7%,2.5%,0.3%,1.5,20,5718,0.6481287163343826,0.0155476422066459,3.108533693250403,0.060860440713536204
>=7%,2.5%,0.3%,1.5,30,6969,0.6375376668101593,0.014273938495164878,2.923481100576826,0.06873296025254699
>=7%,2.5%,0.3%,1.5,45,8385,0.625283243887895,0.012858020405140516,2.7361914309173634,0.07191413237924865
>=7%,2.5%,0.3%,1.5,60,9450,0.6160846560846561,0.011652628296907216,2.5643798138728324,0.07492063492063492
>=7%,2.5%,0.3%,1.5,90,10935,0.5956104252400549,0.010118817289657026,2.331758637107764,0.08157293095564701
>=7%,2.5%,0.3%,1.5,120,12055,0.578598092077976,0.008964147050998869,2.1647285744226474,0.08643716300290336
>=7%,2.5%,0.3%,2.0,15,4477,0.6490953763681037,0.016246169677382488,3.168333344118044,0.05628769265132901
>=7%,2.5%,0.3%,2.0,20,5235,0.6448901623686724,0.015308812497779115,3.0524488927416016,0.05959885386819484
>=7%,2.5%,0.3%,2.0,30,6321,0.634076886568581,0.013934059341127368,2.8466789029805732,0.06802721088435375
>=7%,2.5%,0.3%,2.0,45,7497,0.6227824463118581,0.012660763153572088,2.6797704745224515,0.0714952647725757
>=7%,2.5%,0.3%,2.0,60,8326,0.6157818880614941,0.011666074787927931,2.5492716213563615,0.07314436704299784
>=7%,2.5%,0.3%,2.0,90,9477,0.595125039569484,0.010136936768589594,2.320463585026616,0.07987759839611691
>=7%,2.5%,0.3%,2.0,120,10363,0.578693428543858,0.009068019031492566,2.1673179300830654,0.08395252340055968
>=7%,2.5%,0.5%,1.0,15,5248,0.6564405487804879,0.016719870322841834,3.3079451552500765,0.045160060975609755
