event_id,ticker,ex_date,shares,sub_price,ref_price,discount_pct,ret_-20d,ret_-10d,ret_-9d,ret_-8d,ret_-7d,ret_-6d,ret_-5d,ret_-4d,ret_-3d,ret_-2d,ret_-1d,ret_+0d,ret_+1d,ret_+2d,ret_+3d,ret_+4d,ret_+5d,ret_+6d,ret_+7d,ret_+8d,ret_+9d,ret_+10d,ret_+20d,ret_+30d,ret_+60d,year
6589_2021-04-13,6589,2021-04-13,35000000.0,91.5,160.0,-0.428125,-0.53125,-0.26875000000000004,-0.23124999999999996,-0.25312500000000004,-0.30000000000000004,-0.26249999999999996,-0.265625,-0.19374999999999998,-0.11562499999999998,-0.028124999999999956,0.0,-0.07499999999999996,-0.09375,-0.043749999999999956,0.050000000000000044,-0.021874999999999978,0.0,-0.05625000000000002,-0.12812500000000004,-0.11562499999999998,-0.14375000000000004,-0.12812500000000004,-0.034375000000000044,0.015625,-0.11875000000000002,2021
3631_2021-04-16,3631,2021-04-16,1900000.0,50.0,56.9,-0.12126537785588754,0.09666080843585245,0.1159929701230229,0.10720562390158173,0.10017574692442888,0.0913884007029877,0.05623901581722324,0.01581722319859402,0.005272407732864748,-0.02811950790861162,-0.01581722319859402,0.0,0.0017574692442883233,0.007029876977152849,0.0035149384885764245,-0.033391915641476255,-0.08435852372583474,-0.03690685413005279,-0.04920913884007028,-0.07205623901581726,-0.07205623901581726,-0.08435852372583474,-0.08611599297012296,-0.2073813708260105,-0.12917398945518455,-0.15114235500878737,2021
8171_2021-04-20,8171,2021-04-20,8000000.0,45.0,67.0,-0.32835820895522383,-0.15970149253731347,-0.10895522388059697,-0.11194029850746268,-0.10597014925373138,-0.12537313432835817,-0.07910447761194028,-0.09552238805970148,-0.010447761194029903,-0.02686567164179099,0.00746268656716409,0.0,-0.007462686567164201,-0.05373134328358209,-0.12835820895522387,-0.14626865671641787,-0.14029850746268657,-0.13432835820895528,-0.11343283582089558,-0.07462686567164178,-0.08805970149253728,-0.11343283582089558,-0.08059701492537308,-0.2723880597014925,-0.18507462686567167,-0.02238805970149249,2021
6026_2021-04-28,6026,2021-04-28,35000000.0,13.5,21.2,-0.3632075471698113,-0.28773584905660377,-0.285377358490566,-0.27594339622641506,-0.23349056603773577,-0.16509433962264153,-0.1839622641509433,-0.1721698113207547,-0.15801886792452824,-0.13915094339622636,-0.054245283018867885,0.0,-0.025943396226415172,-0.021226415094339535,-0.06603773584905659,-0.12264150943396213,-0.10849056603773588,-0.12971698113207553,-0.10141509433962259,-0.07783018867924518,-0.12735849056603765,-0.21226415094339623,-0.25235849056603776,-0.22877358490566024,-0.2382075471698114,-0.12971698113207553,2021
4171_2021-06-17,4171,2021-06-17,7300000.0,120.0,133.5,-0.101123595505618,0.1910112359550562,0.12734082397003754,0.146067415730337,0.06367041198501866,0.1685393258426966,0.1348314606741574,0.13857677902621712,0.12734082397003754,0.09737827715355807,0.03745318352059934,0.0,-0.0074906367041198685,0.011235955056179803,-0.022471910112359605,0.0037453183520599342,0.0,0.01872659176029967,-0.029962546816479363,-0.0037453183520599342,-0.01872659176029967,0.0074906367041198685,0.08239700374531833,-0.029962546816479363,-0.05992509363295884,-0.10486891385767794,2021
8027_2021-06-23,8027,2021-06-23,10000000.0,66.0,68.0,-0.02941176470588236,0.057352941176470607,0.04264705882352948,0.025000000000000133,0.04852941176470593,0.032352941176470695,0.026470588235294024,0.020588235294117796,0.03823529411764692,0.033823529411764586,0.0117647058823529,0.0,0.004411764705882337,-0.005882352941176561,0.00588235294117645,-0.010294117647058898,-0.0117647058823529,-0.0117647058823529,-0.020588235294117685,-0.0014705882352940014,0.032352941176470695,0.014705882352941124,0.0235294117647058,0.07352941176470584,0.03970588235294126,-0.05735294117647072,2021
3707_2021-06-28,3707,2021-06-28,6000000.0,63.9,85.0,-0.2482352941176471,-0.20352941176470585,-0.14470588235294113,-0.05999999999999994,-0.07764705882352929,-0.045882352941176485,0.02941176470588225,0.0023529411764706687,-0.04705882352941182,-0.024705882352941133,-0.022352941176470686,0.0,-0.04117647058823526,-0.08588235294117641,-0.07882352941176474,-0.1047058823529412,-0.06823529411764706,-0.051764705882353046,-0.0623529411764705,-0.008235294117647118,-0.015294117647058791,-0.008235294117647118,0.09058823529411764,0.388235294117647,0.12235294117647055,0.30000000000000004,2021
6241_2021-06-29,6241,2021-06-29,10000000.0,16.0,20.5,-0.2195121951219512,-0.039024390243902474,-0.07317073170731703,-0.024390243902439046,-0.04146341463414638,-0.03170731707317065,-0.03170731707317065,-0.04390243902439017,-0.03414634146341455,-0.024390243902439046,-0.014634146341463428,0.0,-0.039024390243902474,-0.056097560975609695,-0.056097560975609695,-0.056097560975609695,-0.024390243902439046,-0.024390243902439046,-0.02682926829268295,-0.024390243902439046,-0.03658536585365857,-0.04146341463414638,-0.03658536585365857,-0.03658536585365857,-0.04146341463414638,0.2682926829268293,2021
8409_2021-06-30,8409,2021-06-30,4000000.0,14.5,18.2,-0.20329670329670324,0.016483516483516425,0.01098901098901095,0.10989010989010994,0.052197802197802234,0.05494505494505497,0.05769230769230771,0.04395604395604402,0.024725274725274637,0.027472527472527375,0.008241758241758435,0.0,0.005494505494505475,0.005494505494505475,-0.005494505494505364,-0.019230769230769162,-0.0219780219780219,-0.024725274725274637,-0.0219780219780219,0.07417582417582436,0.18131868131868134,0.2637362637362637,0.151098901098901,-0.01098901098901095,-0.027472527472527486,-0.08791208791208782,2021
8097_2021-07-01,8097,2021-07-01,8000000.0,17.0,34.4,-0.5058139534883721,-0.3401162790697674,-0.2049418604651162,-0.255813953488372,-0.2834302325581396,-0.2848837209302325,-0.3066860465116278,-0.2383720930232558,-0.20058139534883712,-0.12063953488372092,-0.04069767441860461,0.0,-0.12790697674418605,-0.12645348837209291,-0.11627906976744184,-0.12645348837209291,-0.09738372093023251,-0.05087209302325579,-0.0741279069767441,-0.14534883720930236,-0.15988372093023262,-0.13808139534883723,-0.13372093023255804,-0.255813953488372,-0.24709302325581395,-0.3299418604651162,2021
