signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2025-02-03,2025-02-04,2316,楠梓電,49.3,6.25,5.35,21630.0,49.4,0.2,49.1,-0.41,1.43,0.1,20.3,0.2,-0.15
2025-02-04,2025-02-05,6752,叡揚,144.0,9.09,3.62,33346.0,143.0,-0.69,147.5,2.43,1.82,0.1,-69.4,-0.69,-1.05
2025-02-04,2025-02-05,8390,金益鼎,69.2,8.46,6.79,29262.0,69.8,0.87,71.3,3.03,8.29,0.9,86.7,0.87,0.51
2025-02-05,2025-02-06,4927,泰鼎-KY,37.65,9.77,3.78,19905.0,37.5,-0.4,37.75,0.27,2.12,0.3,-39.8,-0.4,-0.76
2025-02-05,2025-02-06,6206,飛捷,105.0,9.72,6.6,43273.0,106.0,0.95,103.0,-1.9,6.43,0.6,95.2,0.95,0.6
2025-02-06,2025-02-07,2439,美律,115.0,9.0,5.26,107595.0,114.0,-0.87,112.0,-2.61,1.97,0.4,-87.0,-0.87,-1.23
2025-02-06,2025-02-07,1307,三芳,42.3,8.18,3.03,20210.0,42.1,-0.47,42.45,0.35,2.37,0.4,-47.3,-0.47,-0.83
2025-02-07,2025-02-10,6922,宸曜,235.5,9.79,3.44,30392.0,236.0,0.21,234.5,-0.42,2.4,0.1,21.2,0.21,-0.14
2025-02-07,2025-02-10,5203,訊連,112.5,9.76,4.11,21478.0,113.0,0.44,123.5,9.78,8.87,0.7,44.4,0.44,0.09
2025-02-10,2025-02-11,5203,訊連,123.5,9.78,8.87,85065.0,125.5,1.62,127.0,2.83,6.34,0.7,161.9,1.62,1.26
2025-02-10,2025-02-11,4971,IET-KY,124.5,9.69,2.83,59394.0,136.5,9.64,136.5,9.64,1.41,0.3,963.9,9.64,9.28
2025-02-11,2025-02-12,6166,凌華,87.1,6.61,2.87,33361.0,88.0,1.03,83.2,-4.48,2.5,0.4,103.3,1.03,0.68
2025-02-11,2025-02-12,4533,協易機,37.8,5.59,3.47,23186.0,38.0,0.53,37.8,0.0,3.9,0.8,52.9,0.53,0.17
