event_date,stock_id,broker,rolling_2y_buy_wan,ret_10d,excess_10d,ret_20d,excess_20d,ret_60d,excess_60d,company_name
2026-05-12,4958,凱基-站前,205864.8,0.32678133,0.29961529,0.33906634,0.30033117,0.18427518,0.18809881,臻鼎-KY
2026-08-06,4958,凱基-站前,265167.15,-0.03941909,-0.04754352,-0.0373444,-0.04883665,,,臻鼎-KY
2026-06-02,4979,凱基-站前,236310.0,-0.0984127,-0.09260212,-0.28492063,-0.28736952,-0.02063492,0.00528639,華星光
2026-08-27,4979,凱基-站前,304783.55,,,,,,,華星光
2025-08-29,5269,凱基-站前,200412.5,-0.02424242,-0.02197746,-0.12727273,-0.11842358,-0.23030303,-0.22053873,祥碩
2026-01-07,5269,凱基-站前,216252.5,-0.0651341,-0.09092631,0.02298851,-0.00243025,-0.09961686,-0.17088042,祥碩
2026-03-25,5274,凱基-站前,202518.5,0.09391304,0.08215423,0.42347826,0.37724499,0.60913043,0.46497432,信驊
2026-06-23,5274,凱基-站前,232518.5,-0.22102135,-0.21528586,-0.16184815,-0.11648076,,,信驊
2026-06-25,5289,凱基-站前,205767.45,-0.12068966,-0.11176537,-0.21264368,-0.152686,,,宜鼎
2025-10-15,6223,凱基-站前,213999.15,0.04973822,0.0399482,-0.05759162,-0.06401216,0.15183246,0.10328446,旺矽
2026-01-12,6223,凱基-站前,256078.45,0.175,0.14363031,0.26136364,0.25824429,1.33409091,1.25028042,旺矽
2026-04-20,6223,凱基-站前,260747.65,-0.02629017,-0.04034076,0.11587147,0.11156882,0.21129503,0.15310095,旺矽
2026-07-16,6223,凱基-站前,362789.5,-0.22829582,-0.12235235,0.04421222,0.06038088,,,旺矽
2025-10-02,6274,凱基-站前,203019.4,0.00761035,0.00673715,0.20243531,0.20919575,0.50380518,0.48199231,台燿
2025-12-31,6274,凱基-站前,264829.35,-0.02631579,-0.06153583,0.03238866,-0.01327545,0.61336032,0.56052638,台燿
2026-04-09,6274,凱基-站前,265757.25,0.19196989,0.14814983,0.71894605,0.65173381,1.04516939,0.88735194,台燿
2026-07-06,6274,凱基-站前,321738.4,-0.24233129,-0.17291835,-0.17791411,-0.08782464,,,台燿
2026-06-24,6488,凱基-站前,200565.8,0.2746114,0.28375119,0.16062176,0.21192175,,,環球晶
2026-01-05,6515,凱基-站前,201578.5,0.13071895,0.08457995,0.32679739,0.30740474,1.79738562,1.72685613,穎崴
2026-04-13,6515,凱基-站前,311796.7,0.11915888,0.10155267,0.16238318,0.101829,-0.09988318,-0.21329847,穎崴
2026-07-08,6515,凱基-站前,411700.4,-0.14211551,-0.09956642,-0.12070084,-0.06958221,,,穎崴
2024-12-23,6669,凱基-站前,200563.3,0.04528302,0.0442891,-0.10754717,-0.09497667,-0.33773585,-0.33102873,緯穎
