date,gap_pct,high_open_pct,day_return,walked_lower,f_vol,f_foreign,f_rise,f_fut_short,score_3,score_4,tx_oi,ratio_910,n_foreign_down
2024-12-09,0.004075,0.001640,-0.000624,1,0,0,1,1,1,2,-36183.000000,1.192910,1
2024-12-12,0.006419,0.006015,-0.000167,1,1,0,0,1,1,2,-39968.000000,1.317964,0
2024-12-16,0.008111,0.002464,-0.007209,1,0,0,1,1,1,2,-42161.000000,1.155927,0
2024-12-17,0.003979,0.003975,-0.004909,1,0,0,0,1,0,1,-41070.000000,1.067523,1
2024-12-23,0.013385,0.014058,0.012843,0,0,0,0,1,0,1,-36563.000000,0.822027,1
2024-12-24,0.006761,0.002816,-0.006040,1,0,0,1,1,1,2,-32946.000000,1.049979,0
2024-12-25,0.004589,0.003014,-0.000268,1,0,0,0,1,0,1,-36050.000000,0.858959,0
2024-12-26,0.002410,0.001914,-0.001252,1,0,0,1,1,1,2,-36873.000000,0.972721,1
2025-01-03,0.008168,0.003194,-0.004790,1,0,0,0,1,0,1,-43256.000000,0.859992,1
2025-01-06,0.009756,0.018222,0.017980,0,1,0,0,1,1,2,-39974.000000,1.486460,0
2025-01-07,0.011764,0.005004,-0.007280,1,1,0,0,1,1,2,-32862.000000,1.217059,0
2025-01-13,0.002540,0.000000,-0.025227,1,1,1,1,1,3,4,-41948.000000,1.384211,2
2025-01-14,0.003808,0.009903,0.009903,0,0,1,0,1,1,2,-43359.000000,0.709803,2
2025-01-16,0.013456,0.014470,0.009097,0,1,0,0,1,1,2,-39417.000000,1.412185,0
2025-01-17,0.007167,0.000852,-0.001813,1,1,1,1,1,3,4,-36211.000000,1.216062,3
2025-01-20,0.002393,0.006170,0.002730,0,0,0,0,1,0,1,-31863.000000,0.959041,0
2025-01-22,0.007410,0.007217,0.002247,0,1,0,0,1,1,2,-33695.000000,1.475218,0
2025-02-04,0.006238,0.004293,-0.001853,1,0,0,0,1,0,1,-36490.000000,0.869951,1
2025-02-05,0.005371,0.014529,0.010700,0,0,0,0,1,0,1,-34065.000000,0.889014,0
2025-02-06,0.002803,0.005249,0.003879,0,0,0,0,1,0,1,-31808.000000,,0
2025-02-11,0.003001,0.007014,0.002664,0,1,0,0,1,1,2,-30961.000000,1.202961,0
2025-02-12,0.002791,0.003382,-0.006804,1,0,1,0,1,1,2,-31339.000000,1.176691,2
2025-02-17,0.004559,0.010857,0.010627,0,0,0,0,1,0,1,-35307.000000,1.012957,1
2025-02-18,0.001922,0.004909,0.004909,0,0,0,0,1,0,1,-29484.000000,0.964978,0
2025-02-21,0.001646,0.008775,0.008676,0,0,1,0,1,1,2,-24533.000000,1.015046,3
2025-02-27,0.001876,0.001760,-0.016774,1,0,0,1,1,1,2,-35013.000000,1.025374,1
2025-03-05,0.008053,0.007438,0.004084,0,1,0,0,1,1,2,-44023.000000,1.219997,1
2025-03-06,0.002545,0.002174,-0.009362,1,0,0,1,1,1,2,-40914.000000,1.117760,0
2025-03-12,0.004531,0.009940,0.004838,0,0,1,0,1,1,2,-45697.000000,0.868574,2
2025-03-13,0.005610,0.006655,-0.019714,1,1,0,0,1,1,2,-43409.000000,1.231327,0
2025-03-14,0.001144,0.003967,-0.000853,1,0,1,0,1,1,2,-41732.000000,1.158274,3
2025-03-17,0.007715,0.007648,-0.000854,1,0,0,0,1,0,1,-41877.000000,1.029897,0
2025-03-18,0.003888,0.005516,0.003020,0,0,0,0,1,0,1,-39562.000000,1.001285,0
2025-03-20,0.009570,0.009303,0.009303,0,0,0,0,1,0,1,-36396.000000,1.029854,0
2025-03-24,0.006271,0.001448,-0.010817,1,0,1,1,1,2,3,-35588.000000,0.811509,2
2025-03-25,0.007361,0.006495,0.000172,0,0,0,0,1,0,1,-36061.000000,1.187710,0
2025-03-26,0.002443,0.003158,-0.003015,1,0,0,0,1,0,1,-31880.000000,0.915518,0
2025-04-01,0.009114,0.020637,0.018944,0,0,0,0,1,0,1,-29313.000000,0.759997,1
2025-04-02,0.001579,0.003601,-0.000730,1,0,0,0,1,0,1,-29385.000000,0.937416,0
2025-04-14,0.008086,0.017116,-0.008818,1,1,0,0,1,1,2,-23548.000000,1.460527,0
2025-04-15,0.004961,0.014561,0.012635,0,0,0,0,1,0,1,-23883.000000,0.734381,0
2025-04-18,0.004408,0.003877,-0.001490,1,0,0,0,1,0,1,-29870.000000,0.996956,1
2025-04-24,0.005777,0.000000,-0.013860,1,1,0,1,1,2,3,-27745.000000,1.291474,1
2025-04-28,0.004999,0.005091,0.003121,0,0,0,0,1,0,1,-23698.000000,0.979745,0
2025-05-02,0.014779,0.012348,0.012348,0,1,0,0,1,1,2,-22730.000000,1.543133,1
2025-05-05,0.002473,0.002231,-0.014686,1,1,0,1,1,2,3,-22913.000000,1.486787,0
2025-05-07,0.002561,0.005353,-0.001393,1,0,0,0,1,0,1,-31157.000000,1.178021,1
2025-05-09,0.007175,0.010838,0.010838,0,1,0,0,1,1,2,-30020.000000,1.384477,0
2025-05-12,0.003916,0.008534,0.006315,0,1,0,0,1,1,2,-33271.000000,1.341562,1
2025-05-14,0.010421,0.010693,0.010693,0,1,0,0,1,1,2,-36513.000000,1.328551,0
2025-05-20,0.005007,0.005314,-0.004881,1,0,0,0,1,0,1,-37713.000000,1.059630,0
2025-05-21,0.003603,0.012760,0.009273,0,0,0,0,1,0,1,-37844.000000,0.944139,1
2025-05-23,0.004397,0.001500,-0.005237,1,1,0,1,1,2,3,-40656.000000,1.201478,0
2025-05-28,0.009496,0.004421,-0.008423,1,0,0,0,1,0,1,-43507.000000,1.085184,0
