d0,code,d1,city_d0_buy_rank_top3,unicenter_city_d0_cobuy,fubon_chiayi_d0_cobuy,bonus_signal_count,d1_0915_close,has_d1_0915_close,addon_eligible,addon_ret_0915_to_close_pct
2026-01-20,1809,2026-01-21,True,False,False,1,28.3,True,True,-0.3533568904593564
2026-01-20,5340,2026-01-21,True,True,False,2,103.0,True,True,0.9708737864077669
2026-01-20,6435,2026-01-21,True,True,False,2,152.5,True,False,0.0
2026-01-20,7780,2026-01-21,True,False,False,1,24.55,True,False,0.0
2026-01-21,1514,2026-01-22,False,True,False,1,142.5,True,True,1.4035087719298245
2026-01-21,4923,2026-01-22,True,False,False,1,37.9,True,True,-1.978891820580475
2026-01-21,7780,2026-01-22,True,False,False,1,25.75,True,True,-4.854368932038835
2026-01-22,2301,2026-01-23,True,True,False,2,178.0,True,True,3.3707865168539324
2026-01-22,2492,2026-01-23,False,True,False,1,158.0,True,True,2.848101265822785
2026-01-22,4533,2026-01-23,True,False,False,1,35.25,True,True,0.7092198581560284
2026-01-22,4939,2026-01-23,True,True,False,2,49.65,True,True,6.948640483383678
2026-01-23,2453,2026-01-26,False,True,True,2,61.2,True,True,2.941176470588242
2026-01-23,2486,2026-01-26,False,False,False,0,116.0,True,False,0.0
2026-01-23,8438,2026-01-26,True,False,False,1,68.1,True,True,0.2936857562408057
2026-01-26,1471,2026-01-27,True,False,False,1,14.65,True,False,0.0
2026-01-26,2344,2026-01-27,True,False,False,1,112.0,True,True,-3.125
2026-01-26,2515,2026-01-27,True,False,True,2,14.0,True,True,2.85714285714286
2026-01-27,1325,2026-01-28,True,False,False,1,35.8,True,False,0.0
2026-01-27,1732,2026-01-28,True,False,False,1,33.4,True,False,0.0
2026-01-27,6442,2026-01-28,True,False,False,1,1570.0,True,False,0.0
2026-01-27,9919,2026-01-28,True,False,False,1,19.65,True,False,0.0
2026-01-28,1325,2026-01-29,True,False,False,1,32.7,True,True,1.3761467889908343
2026-01-28,9919,2026-01-29,True,False,False,1,18.45,True,True,2.439024390243899
2026-01-29,6291,2026-01-30,False,False,False,0,230.0,True,False,-2.8260869565217392
2026-01-30,3049,2026-02-02,True,False,True,2,10.2,True,False,0.0
2026-01-30,3555,2026-02-02,True,False,False,1,117.5,True,True,-4.680851063829787
2026-02-02,3028,2026-02-03,True,False,False,1,55.6,True,False,0.0
2026-02-02,3049,2026-02-03,True,False,False,1,10.05,True,True,5.174129353233844
2026-02-02,3508,2026-02-03,True,False,False,1,29.2,True,False,0.0
2026-02-03,3028,2026-02-04,True,False,False,1,50.1,True,False,0.0
2026-02-03,3533,2026-02-04,False,False,False,0,1605.0,True,False,-4.049844236760125
2026-02-05,3508,2026-02-06,True,True,False,2,34.45,True,True,-1.596516690856305
2026-02-05,6152,2026-02-06,True,False,False,1,16.95,True,True,-1.1799410029498483
2026-02-09,3550,2026-02-10,True,False,False,1,21.1,True,True,3.5545023696682465
2026-02-09,8046,2026-02-10,True,False,True,2,418.5,True,False,2.1505376344086025
2026-02-11,1815,2026-02-23,False,True,False,1,103.0,True,False,-2.912621359223301
2026-02-11,2438,2026-02-23,True,False,False,1,24.0,True,True,4.9999999999999964
2026-02-11,5475,2026-02-23,True,True,False,2,178.5,True,True,-0.2801120448179272
2026-02-11,6907,2026-02-23,True,False,False,1,,False,False,
2026-02-23,1711,2026-02-24,False,True,False,1,26.55,True,False,-4.708097928436912
2026-02-23,2103,2026-02-24,True,False,False,1,19.6,True,False,0.0
2026-02-23,2104,2026-02-24,True,False,True,2,13.55,True,False,0.0
2026-02-23,2489,2026-02-24,True,False,False,1,32.75,True,False,0.0
2026-02-23,2515,2026-02-24,True,False,False,1,18.3,True,False,0.0
2026-02-23,3576,2026-02-24,True,False,False,1,18.3,True,False,0.0
2026-02-23,4989,2026-02-24,True,False,False,1,60.6,True,False,-0.16501650165016735
2026-02-23,6739,2026-02-24,False,False,False,0,,False,False,
2026-02-24,2103,2026-02-25,True,False,False,1,19.95,True,True,-4.260651629072689
2026-02-24,2367,2026-02-25,True,True,True,3,62.6,True,True,6.230031948881787
2026-02-24,3363,2026-02-25,True,True,False,2,570.0,True,True,-4.385964912280701
2026-02-24,3576,2026-02-25,True,False,True,2,20.1,True,False,0.0
2026-02-24,8021,2026-02-25,False,False,False,0,239.5,True,False,-10.438413361169102
2026-02-25,6152,2026-02-26,True,False,False,1,17.95,True,True,-1.671309192200561
2026-02-26,3450,2026-03-02,False,True,False,1,318.5,True,False,4.552590266875981
2026-03-02,1802,2026-03-03,False,True,False,1,72.3,True,False,11.894882434301515
2026-03-02,2605,2026-03-03,False,False,False,0,39.65,True,False,4.539722572509451
2026-03-02,3005,2026-03-03,False,False,False,0,125.5,True,False,1.9920318725099602
2026-03-02,3049,2026-03-03,True,False,False,1,12.5,True,False,0.0
2026-03-02,3357,2026-03-03,True,True,False,2,188.0,True,True,3.4574468085106385
2026-03-02,6877,2026-03-03,True,False,False,1,116.0,True,False,0.0
2026-03-03,3049,2026-03-04,True,False,False,1,11.25,True,True,-9.33333333333334
2026-03-03,3576,2026-03-04,True,False,False,1,,False,False,
2026-03-03,6152,2026-03-04,True,False,True,2,19.85,True,True,0.0
2026-03-03,6205,2026-03-04,True,False,False,1,53.1,True,True,-1.5065913370998063
2026-03-03,6877,2026-03-04,True,False,False,1,105.5,True,True,-8.056872037914692
2026-03-05,3049,2026-03-06,True,False,True,2,13.85,True,False,-6.137184115523463
2026-03-06,1310,2026-03-09,True,False,False,1,11.7,True,False,1.28205128205127
2026-03-06,2543,2026-03-09,True,False,False,1,77.8,True,False,6.812339331619534
2026-03-06,4960,2026-03-09,True,False,False,1,17.25,True,False,0.869565217391296
2026-03-09,1314,2026-03-10,True,False,False,1,8.87,True,False,-1.0146561443066702
2026-03-11,2329,2026-03-12,False,True,False,1,52.3,True,True,0.19120458891012299
2026-03-11,2388,2026-03-12,False,False,False,0,49.0,True,False,0.0
2026-03-11,2455,2026-03-12,True,False,False,1,,False,False,
2026-03-11,2485,2026-03-12,True,True,False,2,60.8,True,False,0.0
2026-03-11,3163,2026-03-12,False,False,False,0,,False,False,
2026-03-11,6419,2026-03-12,True,False,False,1,,False,False,
2026-03-11,8046,2026-03-12,False,False,False,0,,False,False,
2026-03-12,4513,2026-03-13,True,False,False,1,19.1,True,True,0.5235602094240912
2026-03-12,4938,2026-03-13,False,False,False,0,77.9,True,False,2.695763799743271
2026-03-12,5475,2026-03-13,False,False,False,0,,False,False,
2026-03-12,6291,2026-03-13,True,False,False,1,334.5,True,False,-1.7937219730941705
2026-03-13,1711,2026-03-16,False,True,False,1,35.45,True,False,-0.14104372355429382
2026-03-13,1727,2026-03-16,True,True,False,2,57.1,True,True,3.1523642732049115
2026-03-13,3093,2026-03-16,True,False,False,1,,False,False,
2026-03-13,3167,2026-03-16,True,False,False,1,363.5,True,True,-0.9628610729023385
2026-03-13,4956,2026-03-16,True,True,False,2,31.65,True,True,-2.5276461295418775
