signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d,推薦策略,策略條件
2018-12-14,2018-12-17,3455,由田,breakout_60d,60日突破,117.629585,109.440184,25.810000,31.850000,30.230000,28.840000,32.130000,3.290000,1.900000,6.320000,11.407767,6.285147,28.840000,600,33.898305,-0.039456,-0.051701,-0.097959,0.061224,-0.040816,-0.024973,-0.045776,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-02-22,2019-02-25,2367,燿華,breakout_60d,60日突破,36.134700,35.600690,32.530000,32.640000,33.390000,35.130000,37.980000,2.850000,4.590000,5.450000,8.112724,13.746631,32.640000,1000,37.162162,0.047500,0.090000,0.052500,-0.115000,0.187081,0.054597,0.095161,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-03-08,2019-03-11,2488,漢平,breakout_60d,60日突破,87.588921,88.146102,37.460000,37.460000,37.460000,37.460000,41.660000,4.200000,4.200000,4.200000,11.211959,11.211959,37.460000,1000,9.166667,0.072061,0.003793,-0.005057,-0.060683,-0.022756,0.046453,-0.022471,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-03-29,2019-04-01,2727,王品,breakout_60d,60日突破,127.517798,123.541436,35.670000,35.700000,35.820000,35.800000,37.460000,1.660000,1.640000,1.790000,4.636872,4.578448,35.700000,600,12.590799,0.003330,0.054384,0.041065,-0.079716,-0.082058,-0.017334,0.018066,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-03-29,2019-04-01,8086,宏捷科,breakout_60d,60日突破,71.422131,71.422131,16.450000,16.850000,16.910000,16.590000,21.960000,5.370000,5.050000,5.510000,32.368897,29.863986,16.590000,1000,15.138593,0.000000,-0.024074,-0.018519,0.226496,0.570675,-0.020664,-0.060392,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-04-26,2019-04-29,6182,合晶,breakout_60d,60日突破,53.606082,50.219063,27.900000,29.280000,29.060000,28.100000,29.860000,1.760000,0.800000,1.960000,6.263345,2.752925,28.100000,1000,11.820652,-0.003891,-0.085603,-0.145266,0.022596,0.010092,-0.008118,-0.047560,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-07-12,2019-07-15,2337,旺宏,breakout_60d,60日突破,21.705699,23.623308,24.520000,25.190000,25.020000,26.000000,29.390000,3.390000,4.370000,4.870000,13.038462,17.466027,25.020000,1000,24.590164,0.044905,0.101900,-0.053114,0.175943,0.356302,0.033944,0.090333,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-07-12,2019-07-15,2367,燿華,breakout_60d,60日突破,42.008814,42.275819,36.330000,38.160000,37.950000,39.520000,41.290000,1.770000,3.340000,4.960000,4.478745,8.801054,37.950000,1000,21.963824,0.031755,0.010350,-0.056008,0.605429,0.378528,0.020795,-0.001217,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-08-23,2019-08-26,3479,安勤,breakout_60d,60日突破,140.676621,142.382942,37.350000,40.580000,39.780000,39.730000,42.310000,2.580000,2.530000,4.960000,6.493833,6.359980,39.730000,600,19.677419,0.011984,0.057257,0.091877,0.058589,0.138482,-0.016265,0.005154,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2019-08-23,2019-08-26,5289,宜鼎,breakout_60d,60日突破,212.584240,210.063479,33.040000,34.100000,34.240000,34.920000,36.990000,2.070000,2.750000,3.950000,5.927835,8.031542,34.100000,400,4.979253,0.024000,0.044000,0.144000,0.228000,0.496000,-0.004249,-0.008103,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
