signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d
2024-09-06,2024-09-09,8462,柏文,breakout_60d,60日突破,334.782523,339.548110,68.470000,69.060000,69.070000,69.260000,70.230000,0.970000,1.160000,1.760000,1.400520,1.679456,69.060000,200,25.446429,-0.028070,-0.087719,-0.147368,-0.175439,-0.150877,-0.067012,-0.162988
2024-09-13,2024-09-16,1612,宏泰,dip_5_10d_above_ma240,淺幅回檔承接,87.341804,87.735235,50.270000,50.920000,50.920000,51.080000,51.370000,0.290000,0.450000,1.100000,0.567737,0.883739,50.920000,1000,-8.011050,0.014948,0.029895,0.013453,0.016442,0.056801,-0.020017,0.002762
2024-09-13,2024-09-16,1784,訊聯,dip_5_10d_above_ma240,淺幅回檔承接,136.917214,138.221188,22.470000,22.580000,24.000000,24.260000,24.120000,-0.140000,0.120000,1.650000,-0.577082,0.500000,22.580000,600,-7.079646,-0.016955,0.037998,-0.052573,-0.165531,-0.122790,-0.051920,0.010865
2024-09-13,2024-09-16,2351,順德,dip_5_10d_above_ma240,淺幅回檔承接,272.793774,280.082157,80.570000,82.350000,82.030000,81.480000,81.300000,-0.180000,-0.730000,0.730000,-0.220913,-0.889918,81.480000,200,-6.093190,0.226766,0.055762,-0.033457,-0.308550,-0.322677,0.191801,0.028629
2024-09-13,2024-09-16,2439,美律,dip_5_10d_above_ma240,淺幅回檔承接,462.442253,477.181449,58.120000,59.660000,59.990000,60.080000,59.510000,-0.570000,-0.480000,1.390000,-0.948735,-0.800133,59.660000,200,-5.283019,0.007722,-0.003861,-0.142857,-0.196911,-0.023166,-0.027243,-0.030994
2024-09-13,2024-09-16,2464,盟立,dip_5_10d_above_ma240,淺幅回檔承接,314.999507,316.177809,38.200000,38.020000,39.670000,43.090000,38.900000,-4.190000,-0.770000,0.700000,-9.723834,-1.941013,38.020000,200,-5.312869,0.029814,0.002484,0.013665,-0.033540,-0.091925,-0.005151,-0.024648
2024-09-13,2024-09-16,3060,銘異,dip_5_10d_above_ma240,淺幅回檔承接,64.113175,64.739281,10.510000,10.930000,11.030000,10.220000,11.100000,0.880000,0.070000,0.590000,8.610568,0.634633,10.220000,1000,-8.078995,0.011605,-0.001934,0.079304,-0.121857,0.075435,-0.023360,-0.029067
2024-09-13,2024-09-16,3338,泰碩,dip_5_10d_above_ma240,淺幅回檔承接,109.835161,109.992970,20.910000,21.790000,21.870000,21.970000,21.990000,0.020000,0.120000,1.080000,0.091033,0.548697,21.790000,800,-9.138381,-0.005739,-0.001435,-0.021521,-0.096126,-0.113343,-0.040704,-0.028568
2024-09-13,2024-09-16,3537,堡達,dip_5_10d_above_ma240,淺幅回檔承接,176.295759,176.959773,28.850000,28.850000,29.670000,29.680000,29.660000,-0.020000,-0.010000,0.810000,-0.067385,-0.033704,28.850000,400,-8.762887,0.163227,0.228893,0.155722,0.005629,-0.039400,0.128262,0.201760
2024-09-13,2024-09-16,3645,達邁,dip_5_10d_above_ma240,淺幅回檔承接,75.407275,75.107444,36.800000,40.540000,39.470000,38.720000,37.770000,-0.950000,-1.700000,0.970000,-2.453512,-4.307069,38.720000,1000,-7.366483,-0.030938,-0.069860,-0.090818,-0.184631,0.323353,-0.065903,-0.096993
2024-09-13,2024-09-16,3663,鑫科,dip_5_10d_above_ma240,淺幅回檔承接,124.502934,122.503422,60.740000,64.450000,60.710000,60.580000,61.220000,0.640000,0.510000,0.480000,1.056454,0.840059,60.580000,600,-5.465587,0.033732,0.006529,-0.093580,-0.236126,-0.319913,-0.001233,-0.020604
