signal_date,entry_date,stock_id,strategy,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,selected_lot_bucket,daily_value_20d,prior_20d_return_pct,distance_ma20_pct,distance_ma60_pct,company_name,strategy_name,strategy_description,daily_value_20d_m
2026-07-03,2026-07-06,2070,dip_5_10d_above_ma240,85.800445,86.752273,47.350000,47.350000,0.000000,0.000000,1000,22417327.700000,-5.397301,-1.513969,2.018270,精湛,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,22.417328
2026-07-03,2026-07-06,2328,dip_5_10d_above_ma240,103.313421,102.909853,38.900000,37.660000,-1.240000,-3.187661,800,314006409.700000,-9.908447,0.540557,1.806276,廣宇,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,314.006410
2026-07-03,2026-07-06,2329,dip_5_10d_above_ma240,24.951965,25.705232,50.160000,47.840000,-2.320000,-4.625199,1000,450940668.550000,-6.853198,-2.275025,-5.375558,華泰,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,450.940669
2026-07-03,2026-07-06,2337,dip_5_10d_above_ma240,148.558189,150.643216,50.020000,45.810000,-4.210000,-8.416633,600,14206402374.200001,-8.945687,-8.521907,-7.045010,旺宏,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,14206.402374
2026-07-03,2026-07-06,2352,dip_5_10d_above_ma240,40.069447,44.051503,43.360000,44.500000,1.140000,2.629151,1000,524245148.150000,-5.985401,3.762185,15.394953,佳世達,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,524.245148
2026-07-03,2026-07-06,2355,dip_5_10d_above_ma240,138.810804,138.810804,35.800000,35.550000,-0.250000,-0.698324,600,726093976.050000,-5.851064,-4.530744,-4.607922,敬鵬,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,726.093976
2026-07-03,2026-07-06,2376,dip_5_10d_above_ma240,1143.710176,1136.952656,76.280000,75.270000,-1.010000,-1.324069,100,3143807829.850000,-9.491979,-0.943741,5.935740,技嘉,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,3143.807830
2026-07-03,2026-07-06,2382,dip_5_10d_above_ma240,1341.739899,1345.298891,88.620000,88.160000,-0.460000,-0.519070,100,9895555661.750000,-6.683168,1.167315,9.622235,廣達,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,9895.555662
2026-07-03,2026-07-06,2413,dip_5_10d_above_ma240,59.845885,59.907646,50.670000,51.490000,0.820000,1.618315,1000,383227699.500000,-8.064516,-9.532257,-3.583688,環科,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,383.227700
2026-07-03,2026-07-06,2420,dip_5_10d_above_ma240,292.449145,292.449145,55.610000,55.630000,0.020000,0.035965,200,44177546.750000,-5.053599,0.903247,4.989840,新巨,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,44.177547
2026-07-03,2026-07-06,2421,dip_5_10d_above_ma240,451.660518,450.144878,64.720000,62.410000,-2.310000,-3.569221,200,491260843.700000,-8.720207,2.000759,2.540023,建準,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,491.260844
2026-07-03,2026-07-06,2453,dip_5_10d_above_ma240,119.312367,119.520228,42.810000,43.570000,0.760000,1.775286,600,25630316.300000,-5.901639,1.100837,2.032352,凌群,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,25.630316
2026-07-03,2026-07-06,2454,dip_5_10d_above_ma240,14362.992941,14123.324405,86.360000,85.320000,-1.040000,-1.204261,100,58609810000.300003,-5.304740,-2.043199,19.694700,聯發科,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,58609.810000
2026-07-03,2026-07-06,2457,dip_5_10d_above_ma240,49.305301,50.391689,27.100000,25.690000,-1.410000,-5.202952,1000,286044551.050000,-7.956318,0.605337,10.839752,飛宏,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,286.044551
2026-07-03,2026-07-06,2486,dip_5_10d_above_ma240,450.816567,469.826904,47.040000,45.990000,-1.050000,-2.232143,200,2112004269.750000,-9.289617,-0.628554,0.397786,一詮,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,2112.004270
2026-07-03,2026-07-06,2606,dip_5_10d_above_ma240,228.231441,229.708667,76.930000,74.300000,-2.630000,-3.418692,400,406124027.100000,-7.743982,-1.341324,-0.600028,裕民,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,406.124027
