價格結構,大戶路徑,增加門檻(百分點),原始比例上限(%),跳升前允許流失(百分點),穩健分數,訓練期2017–2021_n,訓練期2017–2021_weeks,訓練期2017–2021_mean,訓練期2017–2021_median,訓練期2017–2021_win,訓練期2017–2021_weekly,驗證期2022–2023_n,驗證期2022–2023_weeks,驗證期2022–2023_mean,驗證期2022–2023_median,驗證期2022–2023_win,驗證期2022–2023_weekly,最終驗證2024–2025_n,最終驗證2024–2025_weeks,最終驗證2024–2025_mean,最終驗證2024–2025_median,最終驗證2024–2025_win,最終驗證2024–2025_weekly
breakout_60d,四週,1.5,40,0.0,0.0,329,161,-0.36,-1.59,42.55,-0.3,159,69,1.32,-0.61,46.54,0.51,153,69,-0.1,-2.64,35.95,0.88
breakout_60d,四週,1.5,40,1.0,0.0,329,161,-0.36,-1.59,42.55,-0.3,159,69,1.32,-0.61,46.54,0.51,153,69,-0.1,-2.64,35.95,0.88
breakout_60d,四週,1.5,40,0.5,0.0,329,161,-0.36,-1.59,42.55,-0.3,159,69,1.32,-0.61,46.54,0.51,153,69,-0.1,-2.64,35.95,0.88
breakout_20d,兩週,2.0,40,0.5,-0.01,219,133,0.23,-0.43,46.12,-0.68,117,62,1.45,0.52,50.43,1.64,108,60,-0.47,-2.83,34.26,0.31
breakout_20d,兩週,3.0,40,1.0,-0.02,98,78,0.67,-0.41,45.92,0.43,64,38,0.14,-0.69,48.44,-0.17,63,41,0.63,-2.08,36.51,1.56
breakout_20d,兩週,2.0,40,1.0,-0.05,222,134,0.18,-0.6,45.95,-0.66,118,62,1.38,0.11,50.0,1.52,108,60,-0.47,-2.83,34.26,0.31
breakout_20d,四週,1.0,40,1.0,-0.06,617,211,-0.53,-1.84,39.22,-0.89,285,81,1.15,-0.55,47.37,1.3,286,84,-0.3,-2.53,37.41,0.22
breakout_20d,四週,1.0,40,0.5,-0.06,617,211,-0.53,-1.84,39.22,-0.89,285,81,1.15,-0.55,47.37,1.3,286,84,-0.3,-2.53,37.41,0.22
breakout_20d,四週,1.0,40,0.0,-0.06,617,211,-0.53,-1.84,39.22,-0.89,285,81,1.15,-0.55,47.37,1.3,286,84,-0.3,-2.53,37.41,0.22
breakout_20d,單週,0.75,25,1.0,-0.19,76,57,1.41,-1.04,43.42,1.21,50,31,2.47,0.92,54.0,3.09,46,29,-1.0,-3.46,39.13,-0.53
breakout_60d,兩週,3.0,40,0.5,-0.19,80,64,0.96,-0.22,48.75,0.42,50,30,0.5,0.8,52.0,0.2,45,33,0.54,-2.08,35.56,0.26
breakout_20d,兩週,3.0,40,0.0,-0.19,97,77,0.66,-0.43,45.36,0.41,61,36,0.03,-0.34,49.18,-0.29,62,41,0.87,-1.93,37.1,1.57
breakout_20d,四週,2.0,40,0.5,-0.22,310,163,0.0,-1.05,42.26,-0.39,157,72,0.92,-0.34,48.41,0.2,145,71,-0.63,-3.73,33.79,0.93
breakout_20d,四週,2.0,40,1.0,-0.22,310,163,0.0,-1.05,42.26,-0.39,157,72,0.92,-0.34,48.41,0.2,145,71,-0.63,-3.73,33.79,0.93
breakout_20d,四週,2.0,40,0.0,-0.22,310,163,0.0,-1.05,42.26,-0.39,157,72,0.92,-0.34,48.41,0.2,145,71,-0.63,-3.73,33.79,0.93
breakout_60d,兩週,3.0,40,1.0,-0.28,80,64,0.96,-0.22,48.75,0.42,51,31,0.37,0.61,50.98,-0.01,45,33,0.54,-2.08,35.56,0.26
breakout_20d,單週,2.5,40,1.0,-0.3,53,47,-0.86,-1.05,41.51,-0.62,39,26,0.65,0.99,51.28,0.58,36,27,-0.13,-3.67,38.89,-0.02
breakout_60d,四週,1.0,40,1.0,-0.31,438,186,-0.88,-2.06,39.5,-0.95,192,71,1.35,-0.59,46.35,0.52,199,74,0.0,-2.68,36.68,0.4
breakout_60d,四週,1.0,40,0.5,-0.31,438,186,-0.88,-2.06,39.5,-0.95,192,71,1.35,-0.59,46.35,0.52,199,74,0.0,-2.68,36.68,0.4
breakout_60d,四週,1.0,40,0.0,-0.31,438,186,-0.88,-2.06,39.5,-0.95,192,71,1.35,-0.59,46.35,0.52,199,74,0.0,-2.68,36.68,0.4
breakout_20d,單週,2.0,40,1.0,-0.45,87,68,-1.34,-1.13,39.08,-1.09,52,33,1.69,1.19,51.92,1.49,44,32,-0.3,-3.0,40.91,-0.21
breakout_60d,四週,1.5,25,0.5,-0.48,78,65,-0.19,-2.1,41.03,0.28,54,38,2.16,0.16,50.0,1.33,42,29,-0.54,-2.42,38.1,-0.28
breakout_60d,四週,1.5,25,1.0,-0.48,78,65,-0.19,-2.1,41.03,0.28,54,38,2.16,0.16,50.0,1.33,42,29,-0.54,-2.42,38.1,-0.28
breakout_60d,四週,1.5,25,0.0,-0.48,78,65,-0.19,-2.1,41.03,0.28,54,38,2.16,0.16,50.0,1.33,42,29,-0.54,-2.42,38.1,-0.28
breakout_60d,兩週,2.0,40,0.0,-0.5,160,108,0.54,-0.22,48.75,-0.11,81,48,1.5,0.61,50.62,1.36,76,47,-0.51,-3.05,34.21,-0.17
breakout_60d,兩週,3.0,40,0.0,-0.52,80,64,0.96,-0.22,48.75,0.42,48,29,0.24,0.8,52.08,-0.14,45,33,0.54,-2.08,35.56,0.26
breakout_60d,單週,1.0,25,1.0,-0.54,40,35,0.1,-1.24,47.5,0.03,25,16,4.15,1.49,56.0,4.2,22,18,0.56,-3.88,36.36,-0.66
breakout_60d,兩週,2.0,40,0.5,-0.78,166,109,0.19,-0.59,47.59,-0.5,86,51,1.25,0.16,50.0,1.11,78,47,-0.54,-3.03,33.33,-0.19
