資料日期,代號,股票名稱,資料日收盤價,動態大戶級距(張),前週大戶比例(%),本週大戶比例(%),本週變化(百分點)
2016-11-11,8299,群聯,488.552440,200,66.230000,65.340000,-0.890000
2016-11-11,6214,精誠,79.839447,1000,51.730000,50.860000,-0.870000
2016-11-11,5269,祥碩,256.936622,400,69.570000,68.700000,-0.870000
2016-11-11,3426,名稱待補,,100,84.480000,83.620000,-0.860000
2016-11-11,3662,名稱待補,33.741467,1000,44.970000,44.110000,-0.860000
2016-11-11,3050,鈺德,14.289411,1000,44.510000,43.660000,-0.850000
2016-11-11,2436,偉詮電,27.622193,1000,21.110000,20.270000,-0.840000
2016-11-11,2108,南帝,59.293540,1000,64.020000,63.180000,-0.840000
2016-11-11,5274,信驊,665.601282,100,78.740000,77.920000,-0.820000
2016-11-11,2066,世德,130.696340,600,66.440000,65.630000,-0.810000
2016-11-11,2313,華通,19.497419,1000,57.060000,56.250000,-0.810000
2016-11-11,3419,譁裕,19.252458,1000,46.840000,46.040000,-0.800000
2016-11-11,3622,洋華,15.081892,1000,33.460000,32.670000,-0.790000
2016-11-11,3450,聯鈞,287.648420,200,35.200000,34.420000,-0.780000
2016-11-11,8105,凌巨,18.185947,1000,69.110000,68.340000,-0.770000
2016-11-11,2461,光群雷,24.940228,1000,33.310000,32.550000,-0.760000
2016-11-11,4552,力達-KY,100.000000,800,80.280000,79.520000,-0.760000
2016-11-11,2439,美律,278.068316,200,65.840000,65.090000,-0.750000
2016-11-11,6153,嘉聯益,27.098687,1000,32.510000,31.760000,-0.750000
2016-11-11,1568,倉佑,33.709117,1000,53.950000,53.210000,-0.740000
2016-11-11,3533,嘉澤,128.094446,600,51.900000,51.160000,-0.740000
2016-11-11,3303,岱稜,28.340234,1000,29.990000,29.250000,-0.740000
2016-11-11,6588,東典光電,,100,76.780000,76.070000,-0.710000
2016-11-11,2929,淘帝-KY,164.341573,400,57.820000,57.110000,-0.710000
2016-11-11,8050,廣積,169.486056,400,35.200000,34.500000,-0.700000
2016-11-11,1215,卜蜂,79.441113,1000,60.200000,59.510000,-0.690000
2016-11-11,3552,同致,624.862349,100,81.120000,80.430000,-0.690000
2016-11-11,6462,神盾,230.000000,400,62.710000,62.020000,-0.690000
2016-11-11,1476,儒鴻,667.146761,100,88.830000,88.150000,-0.680000
2016-11-11,2420,新巨,84.986856,1000,53.260000,52.580000,-0.680000
2016-11-11,3032,偉訓,80.285017,1000,48.470000,47.790000,-0.680000
2016-11-11,3494,誠研,17.327176,1000,42.850000,42.170000,-0.680000
2016-11-11,2020,美亞,29.541814,1000,68.400000,67.740000,-0.660000
2016-11-11,5283,禾聯碩,,100,96.750000,96.100000,-0.650000
2016-11-11,4180,名稱待補,104.500000,800,67.170000,66.530000,-0.640000
2016-11-11,3034,聯詠,252.539281,400,76.370000,75.750000,-0.620000
2016-11-11,8341,日友,121.917921,600,61.660000,61.050000,-0.610000
2016-11-11,3085,新零售,18.016250,1000,44.360000,43.750000,-0.610000
2016-11-11,4994,傳奇,364.024717,200,86.840000,86.240000,-0.600000
2016-11-11,6526,達發,,100,68.740000,68.140000,-0.600000
2016-11-11,1540,喬福,36.944506,1000,31.780000,31.180000,-0.600000
